record_id,entity_name,status,priority,assigned_region,last_updated
ACC-7357,Karen Corp,Active,Low,Dubai,2025-07-03T13:56:09.672059Z
ACC-8543,Leo Corp,In Progress,High,Tokyo,2025-09-02T13:56:09.672167Z
ACC-1157,Alice Corp,Closed,Low,London,2025-03-25T13:56:09.672201Z
ACC-7605,Jack Corp,In Progress,Low,Dubai,2025-10-20T22:56:09.672223Z
ACC-9887,Hank Corp,Pending,High,Tokyo,2025-12-01T20:56:09.672240Z
ACC-6356,Karen Corp,Resolved,Medium,London,2025-05-17T23:56:09.672257Z
ACC-5010,Alice Corp,Requires Action,Low,Berlin,2025-05-09T08:56:09.672271Z
ACC-4915,Karen Corp,Failed,Critical,Tokyo,2025-06-03T02:56:09.672286Z
ACC-4375,Eve Corp,Closed,Low,Tokyo,2025-10-25T18:56:09.672311Z
ACC-5105,Grace Corp,Requires Action,Low,London,2025-11-25T16:56:09.672328Z
ACC-7741,Karen Corp,Active,Low,Dubai,2025-10-27T21:56:09.672342Z
ACC-4924,Hank Corp,Requires Action,Low,Sydney,2025-08-28T03:56:09.672357Z
ACC-5029,Diana Corp,Pending,Critical,London,2025-05-30T02:56:09.672371Z
ACC-7713,Diana Corp,Resolved,Low,Tokyo,2025-10-02T07:56:09.672386Z
ACC-5651,Charlie Corp,Failed,Low,Berlin,2025-05-02T22:56:09.672400Z
ACC-5761,Grace Corp,In Progress,Low,New York,2025-10-31T00:56:09.672413Z
ACC-8257,Eve Corp,Active,Medium,Dubai,2025-08-02T07:56:09.672426Z
ACC-8395,Karen Corp,In Progress,Medium,Sydney,2025-06-21T07:56:09.672439Z
ACC-1817,Ivy Corp,Closed,High,Dubai,2025-08-16T04:56:09.672452Z
ACC-8764,Frank Corp,In Progress,High,Toronto,2025-10-16T11:56:09.672472Z
ACC-9287,Jack Corp,In Progress,Critical,Sydney,2025-05-03T21:56:09.672485Z
ACC-8517,Leo Corp,Requires Action,Critical,New York,2025-11-06T14:56:09.672499Z
ACC-5848,Jack Corp,Active,Medium,Dubai,2025-08-15T04:56:09.672512Z
ACC-6372,Jack Corp,Resolved,Low,Toronto,2025-12-12T04:56:09.672525Z
ACC-8593,Bob Corp,Resolved,Low,Berlin,2025-11-17T21:56:09.672539Z
ACC-1338,Jack Corp,Resolved,Critical,Toronto,2025-11-14T04:56:09.672552Z
ACC-6261,Charlie Corp,Requires Action,Low,Tokyo,2025-06-01T20:56:09.672566Z
ACC-4936,Charlie Corp,Closed,Medium,Dubai,2025-10-29T04:56:09.672581Z
ACC-6347,Frank Corp,Closed,Medium,Berlin,2025-05-01T14:56:09.672600Z
ACC-1516,Diana Corp,In Progress,Critical,Dubai,2025-12-18T01:56:09.672614Z
ACC-8951,Eve Corp,Pending,Medium,Tokyo,2025-05-20T16:56:09.672628Z
ACC-9155,Ivy Corp,In Progress,Low,London,2025-11-08T01:56:09.672641Z
ACC-6321,Hank Corp,Resolved,High,Berlin,2025-07-23T02:56:09.672654Z
ACC-1227,Leo Corp,Pending,Medium,New York,2025-04-22T09:56:09.672668Z
ACC-9850,Karen Corp,Requires Action,Critical,Berlin,2025-05-20T04:56:09.672682Z
ACC-3456,Diana Corp,Failed,High,Berlin,2026-01-01T07:56:09.672695Z
ACC-1320,Charlie Corp,Requires Action,High,Tokyo,2025-06-09T11:56:09.672708Z
ACC-7103,Leo Corp,Requires Action,High,Singapore,2025-03-11T20:56:09.672721Z
ACC-8234,Grace Corp,Pending,High,Tokyo,2025-05-20T13:56:09.672735Z
ACC-7556,Hank Corp,Requires Action,Low,Singapore,2026-01-06T13:56:09.672749Z
ACC-3248,Eve Corp,Requires Action,Medium,Singapore,2025-08-26T05:56:09.672770Z
ACC-3600,Bob Corp,Requires Action,Medium,Berlin,2025-03-19T11:56:09.672783Z
ACC-9625,Jack Corp,Pending,Critical,Berlin,2025-07-13T05:56:09.672797Z
ACC-3235,Jack Corp,Resolved,High,Berlin,2025-12-16T03:56:09.672810Z
ACC-6078,Leo Corp,Pending,Critical,Sydney,2025-03-12T07:56:09.672823Z
ACC-3621,Charlie Corp,Pending,Medium,Tokyo,2026-02-18T12:56:09.672837Z
ACC-3566,Grace Corp,In Progress,Critical,London,2025-04-13T08:56:09.672850Z
ACC-8284,Hank Corp,Active,High,London,2025-09-07T21:56:09.672868Z
ACC-3759,Ivy Corp,Failed,High,Singapore,2025-05-25T22:56:09.672883Z
ACC-7387,Alice Corp,Closed,Critical,Toronto,2025-10-09T23:56:09.672902Z
ACC-4227,Karen Corp,Resolved,Medium,Tokyo,2025-12-01T05:56:09.672917Z
ACC-8178,Diana Corp,Failed,Critical,Dubai,2025-03-29T22:56:09.672930Z
ACC-8484,Eve Corp,Resolved,Low,Sydney,2025-09-15T07:56:09.672946Z
ACC-1561,Alice Corp,Resolved,High,Singapore,2026-01-09T06:56:09.672959Z
ACC-6885,Ivy Corp,Closed,Critical,London,2025-09-23T16:56:09.672971Z
ACC-1611,Jack Corp,Active,Medium,Dubai,2025-05-08T13:56:09.672986Z
ACC-7770,Eve Corp,Pending,Critical,Berlin,2025-10-25T05:56:09.672999Z
ACC-9423,Diana Corp,Pending,High,Sydney,2026-02-25T07:56:09.673013Z
ACC-3678,Charlie Corp,In Progress,Medium,Sydney,2026-01-14T19:56:09.673027Z
ACC-7859,Bob Corp,Resolved,Critical,New York,2025-05-10T15:56:09.673040Z
ACC-3338,Alice Corp,Resolved,High,Sydney,2025-12-19T11:56:09.673054Z
ACC-5822,Charlie Corp,Failed,Medium,Berlin,2025-07-20T08:56:09.673073Z
ACC-4556,Jack Corp,In Progress,Critical,London,2025-10-24T04:56:09.673086Z
ACC-2353,Grace Corp,Resolved,Medium,Dubai,2025-12-25T09:56:09.673100Z
ACC-4799,Ivy Corp,Resolved,Critical,Dubai,2026-02-18T01:56:09.673112Z
ACC-6071,Charlie Corp,Failed,Critical,Toronto,2025-06-07T19:56:09.673129Z
ACC-3177,Ivy Corp,In Progress,Low,Tokyo,2025-09-25T09:56:09.673142Z
ACC-3735,Hank Corp,Requires Action,Low,Berlin,2026-02-13T07:56:09.673159Z
ACC-1944,Leo Corp,Failed,Critical,Sydney,2025-07-16T11:56:09.673172Z
