record_id,entity_name,status,priority,assigned_region,last_updated
AER-2846,Eve Corp,In Progress,Low,Tokyo,2025-03-20T15:56:09.676982Z
AER-5414,Leo Corp,Active,Medium,Dubai,2025-09-21T16:56:09.677025Z
AER-9687,Frank Corp,Failed,High,Berlin,2025-03-12T23:56:09.677045Z
AER-6963,Ivy Corp,Resolved,Medium,Tokyo,2025-06-28T11:56:09.677063Z
AER-1982,Ivy Corp,Resolved,Medium,Sydney,2025-04-30T13:56:09.677078Z
AER-7526,Hank Corp,Closed,Medium,Toronto,2025-11-13T14:56:09.677093Z
AER-6414,Frank Corp,Closed,Low,London,2025-12-06T03:56:09.677108Z
AER-9175,Alice Corp,Requires Action,Medium,Singapore,2025-09-20T10:56:09.677124Z
AER-3747,Diana Corp,Pending,Low,Berlin,2025-06-25T02:56:09.677138Z
AER-8790,Jack Corp,In Progress,Critical,Toronto,2025-12-27T00:56:09.677151Z
AER-8364,Eve Corp,Failed,Low,Berlin,2025-09-02T14:56:09.677165Z
AER-6687,Ivy Corp,Closed,Medium,Toronto,2026-02-25T14:56:09.677180Z
AER-5024,Bob Corp,Pending,Medium,Tokyo,2025-04-03T21:56:09.677193Z
AER-2708,Grace Corp,Requires Action,Critical,Sydney,2025-03-28T15:56:09.677208Z
AER-5217,Eve Corp,Resolved,Critical,Berlin,2025-05-21T13:56:09.677222Z
AER-3833,Frank Corp,Requires Action,Medium,New York,2025-04-08T15:56:09.677235Z
AER-4417,Leo Corp,Closed,Medium,London,2026-03-09T22:56:09.677249Z
AER-1667,Karen Corp,Pending,Low,Berlin,2025-04-04T19:56:09.677263Z
AER-5977,Bob Corp,Resolved,High,Berlin,2025-12-09T15:56:09.677277Z
AER-9488,Diana Corp,Requires Action,Medium,London,2025-08-27T14:56:09.677290Z
AER-4121,Charlie Corp,Failed,High,New York,2025-10-19T22:56:09.677309Z
AER-3679,Jack Corp,Closed,Medium,Toronto,2025-06-01T13:56:09.677325Z
AER-7284,Bob Corp,Closed,Low,Dubai,2025-08-22T18:56:09.677338Z
AER-6280,Karen Corp,Requires Action,Low,Tokyo,2025-08-09T03:56:09.677354Z
AER-1464,Grace Corp,In Progress,Medium,London,2025-11-24T07:56:09.677369Z
AER-4380,Grace Corp,Requires Action,Medium,London,2025-11-22T22:56:09.677384Z
AER-5736,Alice Corp,Resolved,Low,Toronto,2025-09-24T07:56:09.677411Z
AER-8709,Leo Corp,Closed,Medium,Sydney,2025-04-10T09:56:09.677429Z
AER-9512,Ivy Corp,Pending,High,London,2026-01-04T12:56:09.677443Z
