record_id,entity_name,status,priority,assigned_region,last_updated
AIR-5731,Jack Corp,In Progress,Medium,Berlin,2025-07-21T21:56:09.687226Z
AIR-5175,Hank Corp,Pending,Medium,Toronto,2025-08-07T05:56:09.687277Z
AIR-7993,Bob Corp,Failed,High,Dubai,2025-10-16T10:56:09.687300Z
AIR-7351,Charlie Corp,Pending,Medium,Singapore,2026-02-13T22:56:09.687316Z
AIR-5119,Diana Corp,In Progress,Medium,Tokyo,2025-11-23T20:56:09.687332Z
AIR-9558,Hank Corp,Closed,Low,Dubai,2025-07-13T07:56:09.687349Z
AIR-8648,Diana Corp,Requires Action,Medium,London,2026-02-09T09:56:09.687362Z
AIR-3865,Alice Corp,Failed,Low,London,2025-11-06T18:56:09.687397Z
AIR-8094,Grace Corp,Requires Action,Medium,Sydney,2025-03-18T21:56:09.687441Z
AIR-5944,Bob Corp,Resolved,Low,Singapore,2026-02-18T10:56:09.687458Z
AIR-4472,Bob Corp,Resolved,Critical,Berlin,2025-05-13T19:56:09.687471Z
AIR-3334,Bob Corp,Pending,High,Tokyo,2025-05-20T02:56:09.687485Z
AIR-8404,Jack Corp,Closed,Critical,Sydney,2025-08-29T15:56:09.687499Z
AIR-8962,Hank Corp,Failed,Low,Tokyo,2025-11-30T23:56:09.687512Z
AIR-4069,Eve Corp,In Progress,Low,Sydney,2025-07-26T18:56:09.687525Z
AIR-8961,Leo Corp,Pending,Critical,Berlin,2025-10-20T21:56:09.687539Z
AIR-4564,Frank Corp,Pending,High,Berlin,2025-09-28T01:56:09.687553Z
AIR-8144,Ivy Corp,Closed,Medium,Tokyo,2025-12-10T01:56:09.687567Z
AIR-9046,Ivy Corp,Closed,Low,Toronto,2025-09-26T21:56:09.687581Z
AIR-2813,Karen Corp,Resolved,Critical,Dubai,2025-07-21T11:56:09.687594Z
AIR-6460,Leo Corp,Pending,Medium,New York,2025-08-15T20:56:09.687607Z
AIR-6133,Charlie Corp,Resolved,Low,Singapore,2025-08-27T04:56:09.687621Z
AIR-8406,Leo Corp,Resolved,Medium,London,2025-04-28T16:56:09.687636Z
AIR-5899,Bob Corp,Requires Action,Critical,Berlin,2025-12-08T07:56:09.687651Z
AIR-9496,Grace Corp,Failed,Low,Singapore,2025-09-20T19:56:09.687668Z
AIR-7735,Diana Corp,Resolved,Medium,Berlin,2025-12-27T17:56:09.687683Z
AIR-4725,Karen Corp,Failed,Critical,Singapore,2026-03-07T20:56:09.687699Z
AIR-4311,Hank Corp,Pending,High,London,2025-12-29T20:56:09.687714Z
AIR-1034,Charlie Corp,Pending,Low,Toronto,2025-06-21T20:56:09.687729Z
AIR-1769,Alice Corp,Requires Action,Low,Toronto,2025-11-22T16:56:09.687742Z
AIR-2667,Grace Corp,Failed,Medium,Sydney,2026-01-08T08:56:09.687757Z
AIR-3009,Alice Corp,Active,Low,Dubai,2025-03-27T08:56:09.687772Z
AIR-4957,Bob Corp,Active,High,Toronto,2025-03-17T00:56:09.687786Z
AIR-8067,Frank Corp,Requires Action,Critical,Toronto,2025-08-15T07:56:09.687799Z
AIR-6876,Eve Corp,Requires Action,High,New York,2026-02-25T15:56:09.687813Z
AIR-3634,Charlie Corp,Resolved,Medium,Sydney,2025-11-03T06:56:09.687826Z
AIR-9041,Diana Corp,Failed,Low,London,2025-12-02T08:56:09.687839Z
AIR-7852,Diana Corp,Resolved,Medium,New York,2025-07-08T01:56:09.687851Z
AIR-5515,Grace Corp,Active,Critical,Toronto,2025-11-25T18:56:09.687864Z
AIR-9237,Leo Corp,Resolved,High,Berlin,2025-10-01T18:56:09.687877Z
AIR-8545,Ivy Corp,Closed,High,Toronto,2025-05-01T19:56:09.687891Z
AIR-4742,Bob Corp,In Progress,Critical,Berlin,2025-05-28T14:56:09.687905Z
AIR-7255,Charlie Corp,In Progress,Low,New York,2025-03-26T20:56:09.687919Z
AIR-5388,Bob Corp,Pending,Critical,Dubai,2025-11-23T05:56:09.687933Z
AIR-5381,Jack Corp,In Progress,Critical,London,2026-01-06T01:56:09.687946Z
AIR-5042,Charlie Corp,Failed,High,Sydney,2025-11-16T01:56:09.687959Z
AIR-7123,Diana Corp,Active,Critical,New York,2025-07-17T23:56:09.687972Z
AIR-3131,Jack Corp,Closed,Medium,Dubai,2025-05-03T06:56:09.687985Z
AIR-1722,Leo Corp,Requires Action,Critical,Sydney,2025-12-30T06:56:09.687999Z
AIR-3285,Alice Corp,Pending,Medium,Toronto,2026-01-07T10:56:09.688011Z
AIR-6243,Leo Corp,Failed,Medium,New York,2025-06-03T09:56:09.688024Z
AIR-3047,Charlie Corp,Failed,High,Berlin,2025-11-19T03:56:09.688036Z
AIR-5178,Frank Corp,In Progress,Critical,London,2025-09-08T03:56:09.688049Z
AIR-1640,Jack Corp,Failed,Medium,Dubai,2025-04-03T03:56:09.688062Z
AIR-6938,Bob Corp,Closed,Low,Toronto,2025-05-28T14:56:09.688074Z
AIR-6352,Hank Corp,Closed,Low,Tokyo,2025-04-09T04:56:09.688087Z
AIR-3068,Eve Corp,Pending,Critical,New York,2025-04-07T07:56:09.688100Z
AIR-6026,Alice Corp,Failed,High,London,2026-01-19T06:56:09.688113Z
AIR-8411,Diana Corp,Active,Critical,Toronto,2025-09-08T17:56:09.688125Z
AIR-8466,Eve Corp,Resolved,High,Singapore,2026-02-11T18:56:09.688137Z
