record_id,entity_name,status,priority,assigned_region,last_updated
AUD-2450,Ivy Corp,Requires Action,Critical,New York,2025-08-11T10:56:09.691504Z
AUD-4278,Charlie Corp,Active,High,Toronto,2025-12-10T13:56:09.691541Z
AUD-7860,Frank Corp,Closed,High,London,2025-03-14T00:56:09.691557Z
AUD-5196,Jack Corp,Requires Action,High,Sydney,2025-08-04T16:56:09.691573Z
AUD-5625,Diana Corp,Pending,High,Sydney,2026-01-23T07:56:09.691588Z
AUD-5997,Diana Corp,Failed,Low,Tokyo,2025-10-14T00:56:09.691604Z
AUD-7726,Jack Corp,Active,Critical,New York,2026-02-25T22:56:09.691618Z
AUD-3606,Karen Corp,Failed,High,Singapore,2025-04-03T16:56:09.691631Z
AUD-8113,Alice Corp,Requires Action,Critical,London,2025-03-13T00:56:09.691645Z
AUD-5347,Karen Corp,Requires Action,Critical,Tokyo,2025-04-02T04:56:09.691659Z
AUD-6226,Karen Corp,Requires Action,Low,Singapore,2025-12-07T16:56:09.691673Z
AUD-8063,Hank Corp,Requires Action,Medium,Tokyo,2026-02-11T13:56:09.691686Z
AUD-3599,Eve Corp,Failed,High,Berlin,2025-08-22T23:56:09.691699Z
AUD-1252,Karen Corp,In Progress,High,London,2025-04-05T06:56:09.691714Z
AUD-7387,Alice Corp,Closed,High,New York,2025-10-26T06:56:09.691727Z
AUD-3273,Charlie Corp,Resolved,Low,London,2025-10-14T12:56:09.691741Z
AUD-4295,Alice Corp,Active,Low,Sydney,2025-08-04T15:56:09.691754Z
AUD-5847,Bob Corp,Failed,Critical,Tokyo,2025-05-15T17:56:09.691767Z
AUD-7668,Charlie Corp,Pending,High,Singapore,2025-10-20T12:56:09.691781Z
AUD-4189,Bob Corp,In Progress,High,Tokyo,2025-11-11T03:56:09.691795Z
AUD-1215,Leo Corp,Failed,High,Berlin,2025-06-20T00:56:09.691808Z
AUD-2329,Leo Corp,Resolved,Critical,Sydney,2025-07-13T04:56:09.691820Z
AUD-9349,Charlie Corp,Pending,Medium,Tokyo,2025-12-29T21:56:09.691833Z
AUD-8557,Charlie Corp,Requires Action,Medium,Singapore,2025-07-13T22:56:09.691846Z
AUD-1510,Hank Corp,Active,Low,Dubai,2026-01-05T02:56:09.691860Z
AUD-6268,Bob Corp,Active,Medium,Singapore,2025-05-28T16:56:09.691873Z
AUD-6906,Grace Corp,Active,Medium,New York,2026-02-24T01:56:09.691886Z
AUD-2667,Hank Corp,Resolved,Medium,Singapore,2025-10-07T18:56:09.691900Z
AUD-2915,Ivy Corp,Failed,Medium,London,2026-02-12T00:56:09.691913Z
AUD-5522,Grace Corp,Active,Low,Toronto,2026-02-10T20:56:09.691925Z
AUD-1515,Eve Corp,Closed,Critical,Singapore,2025-11-08T07:56:09.691938Z
AUD-5556,Karen Corp,Pending,Medium,Sydney,2026-02-28T23:56:09.691951Z
