record_id,entity_name,status,priority,assigned_region,last_updated
AUT-3261,Eve Corp,Failed,High,London,2025-03-30T21:56:09.695910Z
AUT-6662,Frank Corp,Closed,High,London,2025-10-30T17:56:09.695953Z
AUT-6072,Leo Corp,Requires Action,Critical,Tokyo,2025-05-06T19:56:09.695976Z
AUT-6216,Karen Corp,Failed,High,Berlin,2025-03-23T04:56:09.695994Z
AUT-3762,Karen Corp,Pending,High,Tokyo,2025-12-27T20:56:09.696010Z
AUT-7814,Grace Corp,Failed,High,Dubai,2025-05-11T08:56:09.696026Z
AUT-9319,Leo Corp,In Progress,Medium,Singapore,2025-04-21T04:56:09.696040Z
AUT-6039,Charlie Corp,Requires Action,Medium,Dubai,2025-09-01T11:56:09.696054Z
AUT-5283,Grace Corp,Failed,Critical,Tokyo,2025-11-04T03:56:09.696068Z
AUT-6652,Bob Corp,Closed,Medium,Tokyo,2025-12-12T22:56:09.696082Z
AUT-2852,Karen Corp,Closed,Low,Tokyo,2025-06-22T22:56:09.696099Z
AUT-9969,Karen Corp,Resolved,Medium,Berlin,2025-10-05T12:56:09.696113Z
AUT-5385,Charlie Corp,Pending,Critical,Dubai,2026-03-11T15:56:09.696127Z
AUT-8261,Karen Corp,Closed,High,Singapore,2025-08-20T13:56:09.696143Z
AUT-1511,Charlie Corp,In Progress,Critical,Dubai,2025-04-15T23:56:09.696157Z
AUT-4227,Jack Corp,Pending,High,London,2025-10-29T03:56:09.696170Z
AUT-3927,Karen Corp,Requires Action,High,Dubai,2026-02-03T17:56:09.696184Z
AUT-2494,Grace Corp,Active,Critical,Berlin,2026-02-19T06:56:09.696198Z
AUT-3596,Hank Corp,Active,Critical,London,2025-10-01T08:56:09.696212Z
AUT-9219,Grace Corp,In Progress,Medium,Dubai,2025-12-10T23:56:09.696225Z
AUT-8259,Ivy Corp,Pending,High,London,2025-03-15T12:56:09.696239Z
AUT-4404,Grace Corp,Pending,Low,Toronto,2025-12-29T08:56:09.696253Z
AUT-8946,Frank Corp,Failed,Low,Toronto,2025-08-01T21:56:09.696267Z
AUT-4066,Hank Corp,Active,High,London,2025-11-29T20:56:09.696281Z
AUT-2533,Bob Corp,In Progress,Medium,Berlin,2025-12-16T00:56:09.696295Z
AUT-3195,Jack Corp,Closed,High,London,2025-10-12T20:56:09.696308Z
AUT-9388,Jack Corp,Failed,Critical,London,2025-09-14T20:56:09.696323Z
AUT-7153,Frank Corp,Requires Action,High,Sydney,2025-04-26T02:56:09.696337Z
AUT-3258,Hank Corp,Closed,Medium,Tokyo,2025-05-09T10:56:09.696350Z
AUT-9286,Charlie Corp,Requires Action,Low,Berlin,2025-08-31T11:56:09.696364Z
AUT-9727,Charlie Corp,Resolved,Low,Singapore,2025-07-18T21:56:09.696378Z
AUT-7237,Diana Corp,Failed,High,Tokyo,2025-07-30T19:56:09.696392Z
AUT-2761,Alice Corp,Pending,High,New York,2025-05-03T13:56:09.696405Z
AUT-3616,Hank Corp,Resolved,High,Berlin,2025-05-31T01:56:09.696419Z
AUT-9237,Jack Corp,Requires Action,Critical,Toronto,2026-02-13T02:56:09.696432Z
AUT-3747,Charlie Corp,Requires Action,Low,Sydney,2025-11-10T10:56:09.696446Z
AUT-9288,Frank Corp,Closed,Medium,London,2025-04-24T19:56:09.696460Z
AUT-7932,Hank Corp,Resolved,Low,New York,2025-08-03T14:56:09.696474Z
AUT-1100,Grace Corp,Closed,High,Berlin,2025-10-09T10:56:09.696488Z
AUT-1610,Jack Corp,In Progress,Low,Sydney,2025-11-30T17:56:09.696503Z
AUT-7546,Karen Corp,Failed,Medium,London,2025-08-03T00:56:09.696517Z
