record_id,entity_name,status,priority,assigned_region,last_updated
CON-1987,Charlie Corp,Pending,Critical,Toronto,2025-09-27T00:56:09.704811Z
CON-4825,Eve Corp,Active,High,Berlin,2025-09-12T09:56:09.704848Z
CON-3223,Grace Corp,Closed,Critical,Sydney,2026-01-06T05:56:09.704865Z
CON-1888,Alice Corp,Failed,Medium,Dubai,2025-04-09T22:56:09.704879Z
CON-5916,Grace Corp,In Progress,Low,Tokyo,2026-01-16T07:56:09.704895Z
CON-6211,Karen Corp,Requires Action,High,Toronto,2025-08-12T16:56:09.704909Z
CON-7554,Diana Corp,Pending,High,Berlin,2025-04-18T23:56:09.704923Z
CON-3186,Charlie Corp,Resolved,Critical,Singapore,2025-04-04T02:56:09.704937Z
CON-5719,Karen Corp,Active,Medium,Tokyo,2025-07-23T10:56:09.704950Z
CON-8325,Frank Corp,In Progress,Medium,Berlin,2025-12-22T08:56:09.704964Z
CON-6710,Frank Corp,In Progress,Critical,Berlin,2025-07-19T17:56:09.704978Z
CON-5053,Ivy Corp,Resolved,High,Singapore,2026-01-22T18:56:09.704991Z
CON-5232,Frank Corp,Pending,Medium,Tokyo,2025-09-28T16:56:09.705005Z
CON-7265,Ivy Corp,In Progress,Medium,London,2025-11-03T06:56:09.705018Z
CON-9398,Alice Corp,Resolved,Low,New York,2025-05-13T16:56:09.705032Z
CON-5996,Grace Corp,Requires Action,Low,Tokyo,2025-11-30T22:56:09.705045Z
CON-7015,Jack Corp,In Progress,Critical,New York,2025-06-11T00:56:09.705060Z
CON-9793,Grace Corp,Active,High,Toronto,2026-01-29T07:56:09.705074Z
CON-8607,Diana Corp,Failed,Critical,Toronto,2025-08-23T22:56:09.705088Z
CON-4320,Frank Corp,Failed,Medium,Berlin,2025-11-23T00:56:09.705101Z
CON-4308,Hank Corp,Failed,High,Sydney,2025-08-18T17:56:09.705114Z
CON-2928,Karen Corp,Active,High,Sydney,2025-04-09T07:56:09.705128Z
CON-5337,Eve Corp,Requires Action,Medium,Toronto,2025-08-03T10:56:09.705141Z
CON-6372,Hank Corp,Failed,Medium,Berlin,2025-06-08T06:56:09.705154Z
CON-8401,Hank Corp,In Progress,Low,New York,2025-07-21T22:56:09.705167Z
CON-3645,Jack Corp,Requires Action,Medium,Tokyo,2025-06-30T03:56:09.705181Z
CON-3771,Charlie Corp,Failed,Medium,Berlin,2025-04-25T06:56:09.705193Z
CON-2227,Diana Corp,Active,Critical,Toronto,2025-07-19T12:56:09.705207Z
CON-5521,Ivy Corp,Pending,Low,New York,2025-09-17T04:56:09.705221Z
CON-8924,Frank Corp,Requires Action,Low,Sydney,2025-04-04T19:56:09.705234Z
CON-5542,Ivy Corp,Active,Critical,New York,2025-07-04T20:56:09.705247Z
CON-5448,Leo Corp,In Progress,Low,London,2025-07-05T13:56:09.705259Z
CON-1400,Ivy Corp,Requires Action,Medium,Dubai,2025-11-12T09:56:09.705272Z
CON-8828,Leo Corp,Resolved,Critical,Tokyo,2025-10-21T08:56:09.705285Z
CON-5464,Charlie Corp,Requires Action,Low,Berlin,2025-10-21T15:56:09.705298Z
CON-1857,Diana Corp,Failed,Critical,Dubai,2025-12-03T06:56:09.705311Z
CON-3480,Diana Corp,Pending,Low,Tokyo,2025-07-27T02:56:09.705323Z
CON-3946,Ivy Corp,Active,High,Sydney,2025-12-24T05:56:09.705336Z
CON-8622,Diana Corp,Closed,Medium,Berlin,2025-03-17T02:56:09.705349Z
CON-9869,Karen Corp,Requires Action,Medium,Berlin,2025-08-14T11:56:09.705361Z
CON-3120,Diana Corp,Active,High,Sydney,2025-06-26T07:56:09.705376Z
CON-7513,Charlie Corp,Failed,Low,Dubai,2026-02-22T15:56:09.705389Z
CON-7650,Jack Corp,Pending,Medium,Sydney,2025-12-11T16:56:09.705401Z
CON-7122,Charlie Corp,Active,Medium,Tokyo,2025-09-12T18:56:09.705414Z
CON-5404,Bob Corp,Failed,High,Singapore,2025-05-09T11:56:09.705427Z
CON-9539,Leo Corp,Closed,High,Berlin,2025-10-04T08:56:09.705440Z
CON-5767,Grace Corp,Active,Critical,Berlin,2025-07-14T12:56:09.705455Z
CON-4348,Eve Corp,Pending,Critical,Dubai,2025-09-02T20:56:09.705467Z
CON-7794,Karen Corp,Active,Critical,New York,2026-03-05T19:56:09.705480Z
CON-1018,Alice Corp,Closed,Low,Tokyo,2026-02-09T17:56:09.705494Z
CON-1184,Jack Corp,Requires Action,Low,Singapore,2025-04-21T13:56:09.705506Z
CON-4153,Karen Corp,In Progress,High,Sydney,2025-12-27T03:56:09.705520Z
CON-4582,Alice Corp,Requires Action,Critical,Tokyo,2025-03-14T20:56:09.705533Z
CON-6448,Frank Corp,Requires Action,Low,Singapore,2025-05-20T01:56:09.705546Z
CON-9087,Hank Corp,Failed,Medium,London,2025-11-27T21:56:09.705559Z
