record_id,entity_name,status,priority,assigned_region,last_updated
CON-9345,Grace Corp,Closed,Critical,New York,2025-12-28T10:56:09.708432Z
CON-7457,Hank Corp,Requires Action,Critical,Dubai,2026-02-16T19:56:09.708473Z
CON-6318,Diana Corp,Pending,High,Singapore,2025-04-24T06:56:09.708493Z
CON-8743,Eve Corp,In Progress,Critical,Sydney,2025-11-24T08:56:09.708510Z
CON-5554,Diana Corp,In Progress,Medium,Tokyo,2025-12-23T10:56:09.708524Z
CON-5344,Frank Corp,Failed,Low,Dubai,2025-11-01T11:56:09.708538Z
CON-4114,Ivy Corp,Failed,Critical,Sydney,2025-10-30T19:56:09.708551Z
CON-4967,Eve Corp,Closed,Critical,New York,2026-01-07T13:56:09.708564Z
CON-6926,Frank Corp,Resolved,Medium,Dubai,2025-05-01T18:56:09.708578Z
CON-5868,Frank Corp,In Progress,High,Tokyo,2025-06-14T12:56:09.708593Z
CON-3215,Leo Corp,Requires Action,Critical,New York,2025-04-12T06:56:09.708607Z
CON-2582,Eve Corp,Resolved,Low,Tokyo,2025-12-17T10:56:09.708620Z
CON-2810,Alice Corp,Failed,Critical,New York,2025-10-15T19:56:09.708633Z
CON-2642,Karen Corp,Requires Action,Critical,London,2025-09-05T05:56:09.708647Z
CON-7442,Karen Corp,Resolved,Critical,Berlin,2025-10-28T09:56:09.708660Z
CON-7270,Leo Corp,Requires Action,Medium,Berlin,2025-05-17T08:56:09.708672Z
CON-3244,Jack Corp,Resolved,Medium,New York,2025-07-12T04:56:09.708685Z
CON-8612,Ivy Corp,Failed,Critical,New York,2025-05-17T19:56:09.708698Z
CON-7172,Charlie Corp,Requires Action,Medium,Berlin,2025-04-06T11:56:09.708711Z
CON-9131,Charlie Corp,Failed,Critical,Toronto,2025-08-24T13:56:09.708723Z
CON-2914,Jack Corp,Closed,Medium,Tokyo,2026-01-31T16:56:09.708736Z
CON-2309,Eve Corp,In Progress,Medium,Tokyo,2026-02-28T09:56:09.708750Z
CON-4129,Jack Corp,Requires Action,Medium,Toronto,2025-09-20T17:56:09.708763Z
CON-3243,Charlie Corp,Failed,High,Sydney,2025-09-23T21:56:09.708776Z
CON-9162,Jack Corp,Resolved,Low,Dubai,2025-10-13T12:56:09.708789Z
CON-2232,Hank Corp,Failed,High,Dubai,2025-12-05T04:56:09.708804Z
CON-7992,Diana Corp,Closed,Medium,Berlin,2025-09-18T05:56:09.708818Z
CON-1682,Frank Corp,Pending,High,New York,2025-11-07T16:56:09.708831Z
CON-9494,Leo Corp,Pending,Critical,Tokyo,2025-05-02T20:56:09.708845Z
CON-1902,Jack Corp,Closed,Medium,Singapore,2025-11-20T22:56:09.708858Z
CON-2181,Charlie Corp,Closed,High,New York,2025-06-27T00:56:09.708871Z
CON-8223,Eve Corp,Closed,High,London,2025-09-07T19:56:09.708884Z
CON-4064,Karen Corp,Failed,Low,Tokyo,2025-06-13T03:56:09.708898Z
CON-2586,Frank Corp,Closed,Low,London,2026-01-22T09:56:09.708913Z
CON-4520,Diana Corp,Closed,Critical,London,2025-09-16T06:56:09.708928Z
CON-8939,Jack Corp,Pending,Critical,Dubai,2026-03-10T09:56:09.708942Z
CON-4210,Grace Corp,Resolved,High,Sydney,2025-11-27T14:56:09.708955Z
CON-6093,Hank Corp,Requires Action,Critical,New York,2025-03-23T21:56:09.708968Z
CON-1032,Alice Corp,Requires Action,Medium,Singapore,2025-03-29T11:56:09.708983Z
CON-8600,Frank Corp,In Progress,Critical,New York,2025-09-01T06:56:09.708997Z
CON-3881,Diana Corp,Resolved,Medium,London,2025-07-22T15:56:09.709010Z
CON-3151,Leo Corp,Closed,Low,Dubai,2025-09-29T22:56:09.709025Z
CON-3682,Grace Corp,Pending,Critical,Tokyo,2026-01-07T08:56:09.709039Z
CON-9416,Jack Corp,Failed,High,Singapore,2026-02-16T19:56:09.709053Z
CON-5952,Frank Corp,Active,Low,Singapore,2026-02-25T03:56:09.709066Z
CON-1130,Bob Corp,Resolved,Critical,Tokyo,2025-10-20T19:56:09.709079Z
CON-1520,Ivy Corp,Resolved,Medium,London,2025-07-25T04:56:09.709093Z
CON-8928,Eve Corp,Pending,Low,Tokyo,2025-10-10T15:56:09.709105Z
CON-3388,Alice Corp,Resolved,High,Tokyo,2025-08-11T08:56:09.709120Z
CON-3631,Karen Corp,Pending,Low,Toronto,2025-06-16T19:56:09.709132Z
CON-8490,Grace Corp,Requires Action,High,Dubai,2025-08-02T14:56:09.709145Z
CON-8962,Jack Corp,Requires Action,Medium,Singapore,2025-10-04T16:56:09.709159Z
CON-5810,Frank Corp,Pending,Low,Dubai,2026-02-06T02:56:09.709176Z
CON-7675,Charlie Corp,Failed,Critical,Sydney,2025-11-12T20:56:09.709191Z
