record_id,entity_name,status,priority,assigned_region,last_updated
CYB-2547,Charlie Corp,Resolved,Medium,Berlin,2025-08-12T17:56:09.713701Z
CYB-3165,Charlie Corp,Pending,Critical,Singapore,2025-10-18T23:56:09.713745Z
CYB-8365,Jack Corp,Failed,High,Tokyo,2026-01-13T12:56:09.713762Z
CYB-1594,Jack Corp,Resolved,Medium,Berlin,2025-10-10T22:56:09.713778Z
CYB-3434,Diana Corp,Active,High,Toronto,2025-12-23T14:56:09.713792Z
CYB-4268,Frank Corp,Failed,Medium,Tokyo,2025-07-14T09:56:09.713806Z
CYB-5208,Bob Corp,Resolved,Medium,Sydney,2025-11-22T12:56:09.713822Z
CYB-5378,Charlie Corp,In Progress,Critical,Sydney,2025-09-01T02:56:09.713836Z
CYB-4912,Alice Corp,Failed,Low,Toronto,2025-04-15T04:56:09.713849Z
CYB-9425,Jack Corp,Failed,High,Sydney,2025-04-27T00:56:09.713863Z
CYB-3891,Frank Corp,Failed,Medium,Sydney,2025-04-24T08:56:09.713877Z
CYB-3060,Grace Corp,Resolved,Medium,Sydney,2026-02-17T16:56:09.713891Z
CYB-1907,Alice Corp,Pending,Low,Toronto,2025-12-16T13:56:09.713903Z
CYB-6399,Eve Corp,Closed,Critical,Tokyo,2025-03-22T21:56:09.713918Z
CYB-5264,Bob Corp,Pending,Critical,Toronto,2025-09-05T19:56:09.713933Z
CYB-5455,Bob Corp,Pending,Low,Toronto,2025-04-29T03:56:09.713946Z
CYB-5822,Karen Corp,Failed,High,Sydney,2025-04-08T15:56:09.713959Z
CYB-3036,Bob Corp,Pending,Medium,Berlin,2025-09-15T12:56:09.713973Z
CYB-6360,Grace Corp,Active,Medium,Singapore,2025-07-14T11:56:09.713987Z
CYB-9374,Karen Corp,Pending,Medium,New York,2025-09-24T12:56:09.714000Z
CYB-4547,Alice Corp,Failed,Medium,New York,2025-09-01T11:56:09.714014Z
CYB-7719,Karen Corp,Resolved,Critical,New York,2025-04-07T13:56:09.714028Z
CYB-1975,Hank Corp,Failed,Critical,Dubai,2026-02-17T16:56:09.714041Z
CYB-4029,Grace Corp,Active,Low,Berlin,2025-11-20T04:56:09.714055Z
CYB-5025,Bob Corp,Requires Action,Low,Sydney,2025-05-26T03:56:09.714067Z
