order_id,customer_uuid,item_category,total_value_usd,fulfillment_status,shipping_region,order_date
ORD-11481,cf98052d-58e0-4f65-9c0b-19a43d661cc5,Electronics,642.55,Shipped,Dubai,2025-09-15T00:56:09.722921Z
ORD-97029,23787066-6fa7-4dc4-91e8-2dbd163a1034,Apparel,1068.6,Processing,Dubai,2025-11-14T05:56:09.723021Z
ORD-39024,fc8dc8fd-6e59-45f4-b877-0dbd549427d1,Apparel,787.81,Delivered,Dubai,2025-10-31T07:56:09.723059Z
ORD-87578,a23c5fba-c08e-40fe-89a4-ad0994e29b22,Apparel,293.33,Delivered,Toronto,2025-11-11T02:56:09.723088Z
ORD-53955,2776984a-845d-4482-a5bd-deb490728c08,Electronics,1033.63,Delivered,Toronto,2026-02-20T20:56:09.723119Z
ORD-12994,7817520f-be5f-42ca-8918-1fff8fb9d9bf,Books,193.13,Returned,New York,2026-03-09T03:56:09.723146Z
ORD-69880,e11e2b76-5ce4-4fe1-821a-20cd0edf8e1e,Home Goods,678.87,Backordered,Toronto,2026-01-10T07:56:09.723171Z
ORD-64030,41e595a8-ce82-4053-ae08-dd599bf9c563,Books,914.6,Returned,Toronto,2026-01-27T00:56:09.723198Z
ORD-91825,db6f5d01-c1a7-4fc8-96d1-363c449c4a08,Apparel,128.27,Returned,Singapore,2025-10-20T02:56:09.723222Z
ORD-77349,d2b49051-5f6d-4159-aa92-92920dc9f3b2,Books,611.4,Shipped,Tokyo,2026-01-15T03:56:09.723245Z
ORD-39925,dc15f85e-2a0c-43dd-9cf9-405b58370623,Apparel,217.4,Delivered,Toronto,2025-09-19T12:56:09.723269Z
ORD-77930,de570857-3af2-432f-a63a-74f04f0c48da,Electronics,872.93,Backordered,London,2026-01-24T22:56:09.723294Z
ORD-91661,315c3493-ea4c-47f8-9cc1-4b59767d9aa2,Apparel,1284.29,Delivered,Singapore,2026-02-25T05:56:09.723318Z
ORD-40734,af4abf95-495d-4936-93f6-5ae7a1a341a5,Home Goods,96.06,Shipped,Toronto,2026-01-27T11:56:09.723341Z
ORD-18212,e5d4d1b8-4aeb-484e-9d7c-b65ab15dfd65,Apparel,738.85,Returned,New York,2026-03-05T11:56:09.723365Z
ORD-47007,b361a258-93fb-4eb3-88cb-413abf5b2867,Electronics,1480.62,Processing,Singapore,2025-09-23T07:56:09.723389Z
ORD-15793,5b99a22b-a4ba-47f3-a3b4-1468791ac1ea,Books,1170.36,Returned,Toronto,2025-12-04T05:56:09.723413Z
ORD-12476,37f4e4a9-9971-442f-8db5-57d0869c5c0a,Books,50.05,Backordered,Dubai,2025-11-13T00:56:09.723439Z
ORD-87510,a36cf052-0df9-4c30-823d-92bb94762239,Apparel,1074.35,Returned,Toronto,2025-10-29T17:56:09.723463Z
ORD-23023,319f26e5-1843-4ed9-9785-d50be5c1b64f,Home Goods,1396.12,Delivered,Singapore,2026-03-03T05:56:09.723486Z
ORD-45143,f61eaa09-7beb-4bf1-b0d0-679feff75e4b,Apparel,780.02,Shipped,New York,2025-10-21T14:56:09.723512Z
ORD-48535,a2a61949-22ae-42bc-a503-7425eb6fc4c1,Electronics,558.28,Delivered,Singapore,2026-01-31T08:56:09.723539Z
ORD-61221,8f1b50f0-f785-4b8d-8ec4-1383214f28cd,Books,51.86,Processing,Toronto,2026-02-05T02:56:09.723567Z
ORD-20956,5564f69d-6898-4dbc-b0a9-b312d9d859f3,Apparel,296.46,Returned,Singapore,2025-09-26T13:56:09.723595Z
ORD-69462,7f90bb3b-6375-4180-b147-e47c515d867c,Home Goods,238.7,Delivered,Toronto,2025-11-03T01:56:09.723620Z
ORD-87444,4a115775-5e84-47b5-815f-7659ea4cc847,Books,288.0,Processing,Dubai,2025-12-05T19:56:09.723647Z
ORD-57560,c3fd2280-0944-4fde-9e9c-ce4c9e475471,Apparel,71.37,Backordered,Tokyo,2025-10-20T11:56:09.723674Z
ORD-45406,3266659b-bc2b-48d9-85a2-1e7733796adf,Books,635.48,Backordered,Dubai,2026-02-20T04:56:09.723699Z
ORD-49867,c6a5a2e6-d1b5-4394-8c26-d1ddfdf2797f,Home Goods,443.57,Returned,Dubai,2026-01-04T12:56:09.723723Z
ORD-90640,dffb0bf2-bddb-4a78-9d6b-529660692a70,Electronics,414.23,Returned,Sydney,2025-11-18T18:56:09.723747Z
ORD-98045,0bd34119-49fb-4f89-842f-c4a7a5c1302c,Home Goods,92.7,Returned,Toronto,2026-01-18T17:56:09.723771Z
ORD-29411,8b687459-2c1c-4b56-801d-1be09db10003,Books,229.56,Returned,New York,2025-09-24T02:56:09.723797Z
ORD-47615,1a7c09f8-a84f-4b7a-9335-c6fdb5a6ba95,Electronics,1086.5,Backordered,Toronto,2025-12-01T00:56:09.723820Z
ORD-57178,64f8a897-149f-4e1e-b622-f02ae37249e7,Electronics,1378.69,Returned,Toronto,2026-02-23T10:56:09.723846Z
ORD-26785,a6fa2992-1c4a-4367-a1c2-06cc08c8c6ae,Electronics,1426.04,Returned,New York,2026-01-26T13:56:09.723869Z
ORD-73768,67c512ae-2e0b-480b-9627-f47a90c30a72,Electronics,1139.93,Processing,Dubai,2025-12-19T21:56:09.723893Z
ORD-96172,6810a46c-1c70-4333-83de-93c4058bffbc,Books,756.96,Processing,London,2025-11-10T00:56:09.723917Z
ORD-83253,bacbfd6d-fb22-4ad8-9989-f044de373e08,Electronics,1055.05,Delivered,Sydney,2026-01-30T11:56:09.723939Z
ORD-90174,f26e740e-5d21-466b-99e8-771a8bb1078d,Books,260.43,Returned,Sydney,2026-02-07T20:56:09.723962Z
ORD-73047,5fe3ca59-edba-4a3e-8725-db6cf70649e6,Home Goods,988.8,Backordered,Toronto,2025-11-12T13:56:09.723985Z
ORD-29202,9bdc9dfe-baf4-42d2-80bc-c8bd35016c0f,Electronics,103.69,Returned,Sydney,2026-01-23T09:56:09.724008Z
