record_id,entity_name,status,priority,assigned_region,last_updated
ENE-5198,Karen Corp,Closed,Critical,Dubai,2025-11-22T04:56:09.735217Z
ENE-1419,Leo Corp,Failed,High,Tokyo,2025-09-30T06:56:09.735265Z
ENE-3928,Bob Corp,In Progress,Low,Sydney,2025-05-29T07:56:09.735287Z
ENE-7641,Jack Corp,In Progress,High,New York,2025-07-04T08:56:09.735304Z
ENE-1651,Leo Corp,In Progress,Low,Dubai,2025-11-23T22:56:09.735321Z
ENE-6010,Frank Corp,Resolved,Low,Singapore,2025-09-17T03:56:09.735337Z
ENE-1155,Bob Corp,Active,Medium,New York,2026-02-20T15:56:09.735353Z
ENE-7722,Karen Corp,Failed,Low,Berlin,2025-05-17T21:56:09.735368Z
ENE-5125,Eve Corp,Active,Low,Berlin,2025-04-20T10:56:09.735384Z
ENE-7787,Alice Corp,Requires Action,Low,Tokyo,2025-08-03T05:56:09.735409Z
ENE-5720,Ivy Corp,Closed,Low,Berlin,2025-07-26T03:56:09.735424Z
ENE-8256,Frank Corp,Resolved,Critical,London,2025-04-19T12:56:09.735438Z
ENE-7360,Leo Corp,Failed,High,Toronto,2026-01-02T01:56:09.735453Z
ENE-1689,Hank Corp,Closed,High,Dubai,2025-06-23T09:56:09.735467Z
ENE-6267,Bob Corp,Active,Low,Singapore,2025-05-24T21:56:09.735482Z
ENE-9059,Grace Corp,Active,Low,New York,2025-09-29T22:56:09.735496Z
ENE-2775,Diana Corp,Active,Medium,Sydney,2025-07-23T02:56:09.735518Z
ENE-1384,Diana Corp,Active,Low,London,2025-09-11T06:56:09.735535Z
ENE-8294,Charlie Corp,Failed,Low,Sydney,2025-05-02T19:56:09.735549Z
ENE-6925,Frank Corp,Closed,Low,Singapore,2025-08-22T11:56:09.735565Z
ENE-3196,Hank Corp,In Progress,Low,Singapore,2025-12-23T18:56:09.735580Z
ENE-8776,Leo Corp,Closed,Medium,Tokyo,2025-09-28T16:56:09.735596Z
ENE-5343,Karen Corp,In Progress,High,Berlin,2025-07-10T11:56:09.735611Z
ENE-9113,Jack Corp,Closed,Low,Berlin,2026-02-13T05:56:09.735625Z
ENE-9410,Charlie Corp,Requires Action,Medium,Sydney,2025-12-31T02:56:09.735640Z
ENE-6890,Grace Corp,Failed,Critical,London,2026-03-09T20:56:09.735654Z
ENE-8392,Ivy Corp,Resolved,Medium,New York,2026-01-07T16:56:09.735668Z
ENE-2155,Frank Corp,Failed,Critical,Berlin,2025-03-13T14:56:09.735682Z
