record_id,entity_name,status,priority,assigned_region,last_updated
HEA-8127,Diana Corp,In Progress,High,New York,2025-09-08T10:56:09.749817Z
HEA-4642,Karen Corp,In Progress,High,Dubai,2025-04-17T07:56:09.749885Z
HEA-6306,Karen Corp,Closed,High,Dubai,2025-07-18T01:56:09.749905Z
HEA-4206,Bob Corp,Failed,Critical,Sydney,2025-12-28T21:56:09.749925Z
HEA-1153,Diana Corp,Pending,High,Toronto,2025-08-01T21:56:09.749941Z
HEA-5106,Frank Corp,In Progress,Medium,Singapore,2025-07-21T12:56:09.749956Z
HEA-5806,Eve Corp,In Progress,Critical,Berlin,2025-11-03T01:56:09.749971Z
HEA-2018,Bob Corp,Active,Low,London,2026-01-02T06:56:09.749986Z
HEA-6521,Alice Corp,Active,Critical,Toronto,2026-01-02T21:56:09.750000Z
HEA-2693,Jack Corp,Closed,High,Tokyo,2025-11-12T01:56:09.750014Z
HEA-3710,Charlie Corp,Closed,Critical,Singapore,2025-06-25T20:56:09.750029Z
HEA-4297,Bob Corp,Failed,High,London,2026-02-03T10:56:09.750044Z
HEA-5904,Hank Corp,In Progress,Medium,New York,2025-07-29T09:56:09.750059Z
HEA-2014,Hank Corp,Requires Action,Medium,New York,2025-12-01T23:56:09.750074Z
HEA-3755,Eve Corp,In Progress,Critical,Tokyo,2025-10-13T02:56:09.750088Z
HEA-1141,Diana Corp,Resolved,High,London,2025-09-12T07:56:09.750102Z
HEA-7388,Leo Corp,Resolved,Medium,Singapore,2026-03-11T00:56:09.750115Z
HEA-5914,Bob Corp,In Progress,High,Berlin,2026-03-07T13:56:09.750132Z
HEA-2550,Alice Corp,Closed,Critical,New York,2025-03-14T19:56:09.750148Z
HEA-4564,Jack Corp,In Progress,Medium,Dubai,2025-07-30T22:56:09.750164Z
HEA-4518,Leo Corp,In Progress,Low,New York,2026-02-10T09:56:09.750178Z
HEA-4397,Eve Corp,Closed,Critical,Dubai,2025-05-24T18:56:09.750192Z
HEA-2249,Grace Corp,Pending,Critical,Singapore,2026-01-22T21:56:09.750208Z
HEA-1218,Ivy Corp,In Progress,Low,Toronto,2025-11-17T20:56:09.750222Z
HEA-1391,Alice Corp,Requires Action,Low,New York,2025-10-12T12:56:09.750237Z
HEA-7082,Bob Corp,Active,Medium,Dubai,2025-10-13T12:56:09.750252Z
HEA-9284,Charlie Corp,In Progress,Medium,New York,2025-08-08T19:56:09.750265Z
HEA-4729,Eve Corp,Requires Action,Critical,Sydney,2025-12-23T09:56:09.750280Z
HEA-9534,Grace Corp,Failed,Medium,Tokyo,2025-09-06T20:56:09.750294Z
HEA-7372,Diana Corp,Active,Critical,Tokyo,2026-01-24T03:56:09.750310Z
HEA-9332,Leo Corp,Pending,High,Sydney,2025-11-16T15:56:09.750324Z
HEA-7561,Alice Corp,Closed,Medium,New York,2025-07-20T01:56:09.750338Z
HEA-3334,Frank Corp,Requires Action,High,Berlin,2025-05-23T07:56:09.750352Z
HEA-9541,Diana Corp,In Progress,Medium,Tokyo,2025-08-12T16:56:09.750368Z
HEA-9031,Jack Corp,Resolved,Medium,Berlin,2025-07-06T03:56:09.750381Z
HEA-5779,Karen Corp,Resolved,Critical,Dubai,2025-10-01T16:56:09.750395Z
HEA-4327,Bob Corp,Closed,High,Singapore,2025-07-16T10:56:09.750408Z
HEA-9166,Frank Corp,Resolved,Critical,Berlin,2025-05-19T19:56:09.750422Z
HEA-6537,Leo Corp,Requires Action,Critical,Toronto,2026-02-23T14:56:09.750436Z
HEA-3481,Frank Corp,Failed,Critical,New York,2025-05-21T08:56:09.750450Z
HEA-2505,Diana Corp,Requires Action,High,Toronto,2025-03-13T00:56:09.750465Z
HEA-4143,Eve Corp,Closed,Low,Toronto,2025-07-12T15:56:09.750480Z
HEA-4068,Alice Corp,Pending,Critical,London,2025-07-20T00:56:09.750494Z
HEA-9327,Hank Corp,Active,Critical,London,2025-05-28T00:56:09.750508Z
HEA-7269,Hank Corp,Closed,Low,London,2025-07-01T08:56:09.750521Z
HEA-1830,Grace Corp,Active,High,London,2026-01-20T10:56:09.750535Z
HEA-8400,Karen Corp,Failed,Medium,Berlin,2025-05-13T13:56:09.750548Z
HEA-6559,Bob Corp,Active,Low,London,2025-08-13T06:56:09.750562Z
HEA-9225,Karen Corp,Pending,High,Berlin,2025-10-26T19:56:09.750577Z
