record_id,entity_name,status,priority,assigned_region,last_updated
HOS-9573,Diana Corp,Resolved,Low,Dubai,2025-11-02T17:56:09.754398Z
HOS-5682,Bob Corp,Failed,High,Berlin,2026-01-06T12:56:09.754440Z
HOS-5920,Alice Corp,Failed,High,Tokyo,2025-12-27T23:56:09.754458Z
HOS-9510,Leo Corp,Active,High,Sydney,2026-01-05T18:56:09.754474Z
HOS-5624,Charlie Corp,Active,Low,Berlin,2025-10-13T13:56:09.754490Z
HOS-1850,Frank Corp,Active,Critical,Singapore,2025-09-27T14:56:09.754505Z
HOS-8135,Charlie Corp,Closed,Critical,New York,2026-01-28T21:56:09.754520Z
HOS-2976,Grace Corp,Resolved,Medium,Dubai,2025-07-29T04:56:09.754535Z
HOS-2412,Jack Corp,Active,Low,Berlin,2025-08-26T22:56:09.754549Z
HOS-9094,Frank Corp,Failed,High,Tokyo,2025-10-22T16:56:09.754564Z
HOS-2275,Charlie Corp,Requires Action,Low,Sydney,2025-05-23T12:56:09.754577Z
HOS-7045,Ivy Corp,In Progress,Critical,Toronto,2025-05-10T06:56:09.754595Z
HOS-2467,Bob Corp,Closed,High,Sydney,2025-12-15T09:56:09.754609Z
HOS-5194,Bob Corp,In Progress,Low,Tokyo,2025-03-18T18:56:09.754622Z
HOS-7655,Frank Corp,In Progress,Critical,Berlin,2025-06-26T11:56:09.754638Z
HOS-1090,Jack Corp,In Progress,Medium,Toronto,2025-08-29T01:56:09.754653Z
HOS-9704,Bob Corp,Closed,Low,Sydney,2025-08-22T22:56:09.754667Z
HOS-4655,Hank Corp,Resolved,Medium,Tokyo,2025-07-01T13:56:09.754681Z
HOS-1294,Alice Corp,Active,Medium,Toronto,2026-01-24T21:56:09.754696Z
HOS-4777,Karen Corp,Closed,Medium,Singapore,2025-06-03T00:56:09.754710Z
HOS-2790,Leo Corp,Requires Action,Low,New York,2025-04-30T10:56:09.754724Z
HOS-2208,Charlie Corp,Resolved,High,Dubai,2025-06-09T16:56:09.754737Z
HOS-6852,Karen Corp,Closed,High,Tokyo,2026-01-04T11:56:09.754752Z
HOS-2405,Frank Corp,Failed,Critical,London,2026-02-15T00:56:09.754765Z
HOS-5950,Grace Corp,Failed,Low,Berlin,2025-10-23T09:56:09.754779Z
HOS-8564,Alice Corp,Closed,Medium,Tokyo,2025-05-22T13:56:09.754793Z
HOS-7252,Diana Corp,Pending,Medium,Tokyo,2025-10-01T11:56:09.754808Z
HOS-4550,Bob Corp,In Progress,High,London,2026-01-14T20:56:09.754823Z
HOS-4295,Bob Corp,Pending,Low,Tokyo,2026-02-14T07:56:09.754838Z
HOS-6398,Charlie Corp,Resolved,High,London,2025-06-28T06:56:09.754852Z
HOS-7367,Charlie Corp,Requires Action,Critical,Tokyo,2025-07-05T17:56:09.754866Z
HOS-8013,Ivy Corp,Requires Action,Low,New York,2026-01-22T06:56:09.754881Z
HOS-5941,Leo Corp,Requires Action,High,London,2026-01-01T11:56:09.754896Z
HOS-1733,Alice Corp,Resolved,High,Tokyo,2025-04-28T06:56:09.754912Z
HOS-1435,Jack Corp,In Progress,Critical,Toronto,2025-10-15T04:56:09.754927Z
HOS-9551,Eve Corp,Closed,Medium,New York,2025-03-16T04:56:09.754941Z
HOS-3839,Alice Corp,Resolved,Low,Tokyo,2025-11-02T17:56:09.754956Z
HOS-1001,Eve Corp,Failed,Critical,Toronto,2025-09-11T08:56:09.754970Z
HOS-3559,Grace Corp,Active,Medium,Sydney,2025-09-15T22:56:09.754985Z
HOS-1896,Alice Corp,Resolved,Critical,Dubai,2026-01-24T14:56:09.754999Z
HOS-4279,Bob Corp,Active,High,Sydney,2025-07-10T21:56:09.755012Z
HOS-8153,Frank Corp,Failed,Low,Dubai,2025-04-15T06:56:09.755026Z
HOS-3416,Bob Corp,Closed,High,New York,2025-05-19T01:56:09.755039Z
HOS-7330,Eve Corp,Closed,High,Sydney,2025-10-17T01:56:09.755053Z
HOS-7960,Karen Corp,Closed,Low,London,2026-01-24T01:56:09.755067Z
HOS-6420,Bob Corp,Active,High,Berlin,2025-11-03T00:56:09.755081Z
HOS-1648,Bob Corp,Pending,Critical,Singapore,2025-10-26T12:56:09.755095Z
HOS-5304,Bob Corp,Failed,Low,Sydney,2025-12-24T01:56:09.755109Z
HOS-7001,Ivy Corp,Active,Low,New York,2025-09-29T03:56:09.755123Z
HOS-4363,Diana Corp,In Progress,High,Sydney,2025-10-10T06:56:09.755136Z
HOS-7775,Karen Corp,In Progress,Critical,Sydney,2025-10-05T20:56:09.755150Z
HOS-2504,Hank Corp,Failed,Low,Toronto,2025-08-05T15:56:09.755163Z
HOS-3974,Alice Corp,Closed,High,Dubai,2025-10-04T11:56:09.755177Z
HOS-5069,Diana Corp,Requires Action,Low,Berlin,2025-07-19T17:56:09.755191Z
HOS-5557,Diana Corp,Active,High,Sydney,2025-05-24T09:56:09.755206Z
HOS-4983,Jack Corp,Closed,High,Tokyo,2025-05-23T21:56:09.755220Z
HOS-4660,Hank Corp,Resolved,High,Toronto,2025-08-08T02:56:09.755235Z
HOS-1397,Grace Corp,Active,Low,Sydney,2025-06-21T10:56:09.755249Z
HOS-6396,Karen Corp,Pending,Critical,Dubai,2025-03-20T01:56:09.755263Z
HOS-2629,Bob Corp,Requires Action,Low,Berlin,2025-10-23T16:56:09.755278Z
HOS-6615,Frank Corp,Pending,High,Sydney,2026-01-26T07:56:09.755291Z
