record_id,entity_name,status,priority,assigned_region,last_updated
HUM-3436,Ivy Corp,Closed,High,London,2025-09-14T09:56:09.758968Z
HUM-1887,Charlie Corp,Active,Medium,Tokyo,2025-06-27T13:56:09.759012Z
HUM-1237,Charlie Corp,Requires Action,Critical,Tokyo,2025-07-06T17:56:09.759032Z
HUM-7281,Alice Corp,Pending,Critical,Sydney,2025-04-14T10:56:09.759050Z
HUM-1927,Leo Corp,Active,Critical,Sydney,2025-07-20T17:56:09.759066Z
HUM-8234,Charlie Corp,In Progress,Medium,Singapore,2026-03-02T07:56:09.759082Z
HUM-8552,Jack Corp,Pending,Critical,Dubai,2025-03-28T03:56:09.759167Z
HUM-6011,Frank Corp,Resolved,Critical,Toronto,2025-11-23T19:56:09.759198Z
HUM-3632,Alice Corp,Requires Action,Critical,Dubai,2025-08-03T14:56:09.759212Z
HUM-2113,Diana Corp,Pending,Critical,Berlin,2026-02-02T03:56:09.759226Z
HUM-9359,Alice Corp,Resolved,Critical,Dubai,2025-05-11T20:56:09.759238Z
HUM-7019,Alice Corp,Closed,Critical,Dubai,2025-10-15T22:56:09.759250Z
HUM-5198,Alice Corp,Pending,Critical,Berlin,2025-09-27T12:56:09.759263Z
HUM-4512,Leo Corp,Requires Action,Medium,Singapore,2025-06-07T04:56:09.759274Z
HUM-8990,Frank Corp,Resolved,Critical,Singapore,2025-07-09T08:56:09.759287Z
HUM-7959,Hank Corp,Resolved,High,Toronto,2025-06-16T19:56:09.759298Z
HUM-1187,Grace Corp,Requires Action,High,Singapore,2025-08-20T14:56:09.759310Z
HUM-6652,Eve Corp,Resolved,High,Singapore,2025-11-14T13:56:09.759322Z
HUM-6166,Charlie Corp,Closed,Medium,Berlin,2025-12-03T12:56:09.759334Z
HUM-1937,Leo Corp,Failed,Low,Singapore,2025-08-02T03:56:09.759345Z
HUM-9842,Grace Corp,Resolved,Low,Singapore,2025-09-21T02:56:09.759356Z
HUM-4105,Bob Corp,In Progress,Critical,Dubai,2025-06-18T15:56:09.759367Z
HUM-8912,Charlie Corp,Active,Critical,Tokyo,2025-10-09T13:56:09.759379Z
HUM-4937,Eve Corp,Closed,Medium,Toronto,2026-02-03T12:56:09.759390Z
HUM-7714,Charlie Corp,Pending,Low,Singapore,2025-06-19T18:56:09.759402Z
HUM-1737,Alice Corp,Active,Medium,Tokyo,2025-12-30T05:56:09.759417Z
HUM-9621,Eve Corp,Closed,High,Toronto,2025-04-04T20:56:09.759429Z
HUM-7023,Jack Corp,Requires Action,Low,Sydney,2025-07-12T12:56:09.759442Z
HUM-2936,Grace Corp,Active,Critical,Berlin,2025-08-14T11:56:09.759455Z
HUM-2041,Diana Corp,In Progress,Medium,Singapore,2025-06-27T17:56:09.759466Z
HUM-6403,Frank Corp,Failed,Low,Singapore,2025-06-29T21:56:09.759477Z
HUM-4880,Hank Corp,Requires Action,Medium,Toronto,2025-10-02T13:56:09.759490Z
HUM-5554,Charlie Corp,Active,Low,London,2025-07-18T20:56:09.759501Z
HUM-6815,Bob Corp,Active,Medium,Singapore,2025-04-02T08:56:09.759515Z
HUM-2473,Karen Corp,Requires Action,Low,New York,2025-10-23T00:56:09.759528Z
HUM-8847,Ivy Corp,In Progress,High,Sydney,2025-04-30T06:56:09.759540Z
HUM-5727,Charlie Corp,Pending,Low,Dubai,2025-12-11T21:56:09.759553Z
HUM-6484,Frank Corp,Pending,Low,Berlin,2026-03-02T01:56:09.759564Z
HUM-6584,Frank Corp,In Progress,Medium,Dubai,2025-10-18T10:56:09.759577Z
HUM-4981,Charlie Corp,Failed,Low,Toronto,2025-09-17T17:56:09.759589Z
HUM-3761,Grace Corp,Resolved,Critical,Dubai,2026-01-28T16:56:09.759601Z
HUM-5133,Hank Corp,Failed,Critical,Berlin,2025-06-17T17:56:09.759692Z
HUM-3367,Charlie Corp,Requires Action,Critical,London,2025-09-05T14:56:09.759718Z
HUM-6197,Alice Corp,Pending,Critical,Singapore,2025-11-27T04:56:09.759737Z
HUM-7254,Karen Corp,Closed,Medium,Tokyo,2026-03-07T07:56:09.759752Z
HUM-8123,Alice Corp,Failed,Critical,Toronto,2025-11-22T19:56:09.759766Z
HUM-2169,Charlie Corp,Failed,High,London,2026-03-09T15:56:09.759780Z
HUM-7787,Grace Corp,Requires Action,Low,Dubai,2026-01-17T15:56:09.759795Z
HUM-9940,Alice Corp,Requires Action,High,Tokyo,2025-06-25T11:56:09.759808Z
HUM-9687,Grace Corp,Failed,Critical,Toronto,2026-03-01T19:56:09.759822Z
HUM-7740,Frank Corp,Active,Low,Dubai,2025-09-19T15:56:09.759837Z
HUM-5407,Bob Corp,Failed,Medium,Singapore,2025-07-16T13:56:09.759851Z
HUM-5907,Frank Corp,Resolved,High,Dubai,2025-11-22T07:56:09.759865Z
HUM-5267,Hank Corp,Pending,Critical,Singapore,2025-07-27T04:56:09.759879Z
HUM-1233,Karen Corp,Pending,Low,Singapore,2026-02-04T00:56:09.759894Z
HUM-9276,Charlie Corp,Active,Medium,London,2025-11-03T09:56:09.759909Z
HUM-8261,Jack Corp,Resolved,High,Tokyo,2025-09-26T15:56:09.759923Z
HUM-4398,Grace Corp,In Progress,High,London,2025-10-27T12:56:09.759937Z
HUM-7077,Karen Corp,Resolved,Critical,Dubai,2025-06-04T04:56:09.759951Z
HUM-9545,Ivy Corp,Resolved,Medium,Berlin,2025-05-22T00:56:09.759968Z
HUM-9096,Charlie Corp,Resolved,Medium,Toronto,2025-11-26T22:56:09.759983Z
HUM-4498,Alice Corp,In Progress,Low,Toronto,2026-02-05T02:56:09.759997Z
HUM-5687,Karen Corp,Requires Action,Medium,Toronto,2025-10-25T19:56:09.760012Z
HUM-6645,Bob Corp,Closed,High,London,2025-04-14T13:56:09.760026Z
HUM-9382,Hank Corp,Pending,Critical,Toronto,2025-06-11T07:56:09.760042Z
HUM-2169,Frank Corp,Resolved,Critical,Singapore,2025-04-16T07:56:09.760060Z
HUM-2305,Grace Corp,Failed,Low,London,2025-07-28T11:56:09.760075Z
HUM-9958,Eve Corp,Failed,High,Singapore,2025-09-30T13:56:09.760090Z
HUM-2345,Leo Corp,Resolved,High,Toronto,2025-09-27T06:56:09.760106Z
HUM-9182,Bob Corp,Closed,High,Berlin,2025-05-12T03:56:09.760120Z
HUM-8311,Alice Corp,Resolved,Medium,Tokyo,2026-01-15T01:56:09.760136Z
HUM-2984,Bob Corp,Failed,Medium,London,2025-08-19T16:56:09.760150Z
HUM-7602,Bob Corp,Active,Low,London,2025-08-05T03:56:09.760163Z
HUM-6283,Frank Corp,In Progress,High,Berlin,2025-06-14T23:56:09.760175Z
HUM-7707,Diana Corp,Active,Medium,Singapore,2026-01-03T22:56:09.760189Z
HUM-5527,Eve Corp,Failed,Low,Berlin,2025-06-25T01:56:09.760202Z
HUM-8529,Karen Corp,Resolved,Medium,Singapore,2025-11-20T07:56:09.760216Z
HUM-3508,Alice Corp,Requires Action,Critical,Tokyo,2025-11-13T22:56:09.760233Z
HUM-2495,Jack Corp,Active,Low,Singapore,2025-11-27T15:56:09.760248Z
HUM-3592,Karen Corp,Failed,High,Toronto,2025-06-18T18:56:09.760261Z
HUM-4272,Alice Corp,Closed,Low,Sydney,2025-12-10T15:56:09.760278Z
HUM-3906,Eve Corp,Active,Critical,London,2025-08-13T21:56:09.760291Z
HUM-4998,Jack Corp,Closed,Low,Tokyo,2026-01-18T12:56:09.760305Z
HUM-2790,Eve Corp,Resolved,High,Sydney,2025-03-16T02:56:09.760320Z
