record_id,entity_name,status,priority,assigned_region,last_updated
INF-7587,Alice Corp,Pending,Medium,Berlin,2025-09-11T21:56:09.763812Z
INF-4074,Grace Corp,Failed,Low,Singapore,2025-03-18T08:56:09.763858Z
INF-8841,Leo Corp,Active,Medium,Tokyo,2025-12-02T00:56:09.763878Z
INF-5951,Ivy Corp,Closed,Low,Dubai,2025-04-02T08:56:09.763895Z
INF-7852,Eve Corp,Pending,Critical,Dubai,2025-05-05T11:56:09.763909Z
INF-8461,Hank Corp,Resolved,Medium,Sydney,2025-11-20T20:56:09.763924Z
INF-9707,Grace Corp,Requires Action,Low,Singapore,2025-04-03T20:56:09.763940Z
INF-2784,Eve Corp,Closed,Low,Sydney,2025-06-29T07:56:09.763955Z
INF-9867,Alice Corp,Requires Action,High,Berlin,2025-10-31T20:56:09.763970Z
INF-5816,Charlie Corp,Resolved,Critical,New York,2025-03-27T00:56:09.763983Z
INF-3373,Charlie Corp,Pending,Medium,Singapore,2026-01-05T15:56:09.763997Z
INF-3680,Alice Corp,Requires Action,High,New York,2025-10-30T16:56:09.764011Z
INF-9478,Ivy Corp,Requires Action,High,Tokyo,2025-11-17T17:56:09.764049Z
INF-8860,Diana Corp,In Progress,Medium,Tokyo,2026-02-04T23:56:09.764067Z
INF-7126,Alice Corp,In Progress,High,Singapore,2026-01-28T23:56:09.764081Z
INF-3746,Karen Corp,Active,Medium,New York,2025-07-07T15:56:09.764095Z
INF-5303,Diana Corp,Resolved,High,Berlin,2025-12-28T12:56:09.764109Z
INF-6726,Bob Corp,Resolved,Medium,Singapore,2025-12-11T07:56:09.764124Z
INF-2329,Bob Corp,In Progress,High,London,2025-04-02T15:56:09.764138Z
INF-5351,Diana Corp,Resolved,Critical,Dubai,2025-06-29T16:56:09.764152Z
INF-2737,Charlie Corp,Requires Action,Medium,Singapore,2026-01-26T09:56:09.764166Z
INF-9858,Diana Corp,In Progress,Medium,London,2026-01-13T17:56:09.764180Z
INF-4046,Frank Corp,In Progress,High,Singapore,2025-07-08T14:56:09.764194Z
INF-5886,Frank Corp,Failed,Critical,Berlin,2025-10-29T03:56:09.764208Z
INF-5815,Karen Corp,Pending,Critical,Toronto,2025-09-26T06:56:09.764222Z
INF-3196,Charlie Corp,Active,Medium,New York,2025-08-23T18:56:09.764237Z
INF-5513,Charlie Corp,Active,High,London,2025-04-22T04:56:09.764253Z
INF-6129,Ivy Corp,Active,High,Sydney,2025-09-28T02:56:09.764267Z
INF-7144,Frank Corp,Resolved,Critical,London,2025-12-13T08:56:09.764280Z
INF-9191,Bob Corp,Requires Action,Low,Toronto,2025-03-12T01:56:09.764295Z
INF-7169,Charlie Corp,In Progress,Medium,Tokyo,2025-11-22T16:56:09.764310Z
INF-4697,Ivy Corp,In Progress,High,Sydney,2025-06-24T11:56:09.764325Z
INF-7864,Jack Corp,Pending,Low,Tokyo,2025-09-05T23:56:09.764340Z
INF-7856,Diana Corp,Failed,High,Berlin,2025-03-17T01:56:09.764355Z
INF-4751,Leo Corp,Pending,High,London,2025-09-04T04:56:09.764369Z
INF-6100,Bob Corp,Closed,Medium,Dubai,2025-11-28T06:56:09.764383Z
INF-9266,Jack Corp,In Progress,Low,London,2025-11-08T18:56:09.764397Z
INF-5125,Jack Corp,Pending,Critical,Tokyo,2025-05-04T04:56:09.764413Z
INF-5216,Hank Corp,Closed,High,New York,2025-04-18T00:56:09.764427Z
INF-7063,Alice Corp,In Progress,Critical,Dubai,2025-10-26T07:56:09.764441Z
INF-9028,Eve Corp,Requires Action,Critical,Toronto,2025-05-11T17:56:09.764456Z
INF-3073,Hank Corp,Resolved,Medium,Dubai,2025-07-13T11:56:09.764472Z
INF-3654,Grace Corp,Active,Critical,London,2025-04-23T02:56:09.764486Z
INF-2161,Frank Corp,Requires Action,Critical,Singapore,2025-04-10T07:56:09.764499Z
INF-5010,Frank Corp,Closed,High,Sydney,2025-09-11T04:56:09.764515Z
INF-7573,Ivy Corp,Closed,Critical,Toronto,2025-09-02T04:56:09.764529Z
INF-5696,Jack Corp,Closed,Medium,Tokyo,2026-03-02T16:56:09.764560Z
INF-9100,Leo Corp,Resolved,High,Berlin,2025-05-24T13:56:09.764579Z
INF-1603,Diana Corp,In Progress,Medium,Toronto,2025-07-12T13:56:09.764594Z
INF-4071,Leo Corp,Pending,High,Tokyo,2026-02-26T13:56:09.764609Z
INF-8273,Leo Corp,Resolved,Low,Toronto,2025-09-25T05:56:09.764624Z
INF-8242,Diana Corp,Failed,Medium,Toronto,2025-04-03T06:56:09.764638Z
INF-5288,Ivy Corp,Failed,Critical,New York,2025-04-08T20:56:09.764653Z
INF-9908,Bob Corp,Requires Action,Medium,Dubai,2025-10-31T02:56:09.764668Z
INF-8372,Karen Corp,Active,Low,Tokyo,2025-05-20T17:56:09.764682Z
INF-4469,Charlie Corp,Resolved,Low,Sydney,2026-01-21T01:56:09.764696Z
INF-3420,Leo Corp,Failed,High,New York,2025-03-19T22:56:09.764710Z
INF-1813,Jack Corp,In Progress,Low,Berlin,2025-05-16T08:56:09.764724Z
INF-6463,Grace Corp,Failed,High,New York,2025-07-14T14:56:09.764739Z
INF-1523,Diana Corp,Failed,Low,Berlin,2025-04-03T19:56:09.764753Z
INF-9984,Frank Corp,Active,Critical,Toronto,2025-11-13T20:56:09.764768Z
INF-1943,Alice Corp,In Progress,High,Berlin,2025-05-15T16:56:09.764783Z
INF-5840,Alice Corp,In Progress,Medium,Tokyo,2026-01-28T04:56:09.764797Z
INF-9509,Hank Corp,Active,Medium,New York,2025-09-27T10:56:09.764811Z
INF-1087,Alice Corp,Resolved,Medium,New York,2025-07-19T21:56:09.764826Z
INF-9501,Hank Corp,Requires Action,High,Toronto,2025-12-14T01:56:09.764853Z
INF-1752,Ivy Corp,Requires Action,High,Sydney,2026-01-27T22:56:09.764869Z
INF-9574,Leo Corp,Closed,Critical,London,2026-01-26T00:56:09.764883Z
INF-4055,Bob Corp,Closed,Medium,Toronto,2026-02-25T14:56:09.764898Z
INF-5285,Jack Corp,Requires Action,Low,Berlin,2026-02-18T13:56:09.764913Z
INF-9986,Eve Corp,Failed,Medium,Dubai,2025-10-20T00:56:09.764927Z
INF-3937,Charlie Corp,In Progress,Critical,New York,2025-06-08T10:56:09.764942Z
INF-5482,Diana Corp,Closed,Low,New York,2025-10-30T00:56:09.764955Z
INF-6003,Karen Corp,In Progress,Critical,Dubai,2025-04-08T07:56:09.764970Z
INF-1761,Bob Corp,Closed,Low,Singapore,2026-01-31T10:56:09.764984Z
INF-6482,Charlie Corp,Resolved,Critical,Tokyo,2025-04-29T14:56:09.764997Z
INF-8158,Jack Corp,Resolved,Low,Toronto,2025-05-04T08:56:09.765011Z
INF-4603,Alice Corp,Pending,High,Tokyo,2025-09-04T15:56:09.765031Z
INF-1604,Charlie Corp,Pending,Low,Toronto,2025-03-10T20:56:09.765044Z
INF-5854,Bob Corp,Active,High,Dubai,2025-11-02T19:56:09.765058Z
INF-6659,Leo Corp,Pending,Medium,Dubai,2025-12-31T19:56:09.765070Z
INF-9805,Alice Corp,Closed,Critical,Dubai,2025-09-25T22:56:09.765085Z
INF-3978,Charlie Corp,Closed,Critical,London,2025-07-22T12:56:09.765100Z
INF-2420,Diana Corp,In Progress,Critical,Singapore,2025-04-13T10:56:09.765113Z
INF-6006,Charlie Corp,Resolved,Critical,Toronto,2025-05-26T18:56:09.765127Z
INF-1622,Charlie Corp,Failed,Low,Dubai,2026-01-12T07:56:09.765142Z
INF-3748,Jack Corp,Resolved,Medium,New York,2025-05-12T15:56:09.765156Z
INF-8450,Alice Corp,Resolved,Medium,London,2025-05-11T12:56:09.765170Z
INF-6557,Frank Corp,Resolved,Critical,Dubai,2026-01-14T12:56:09.765185Z
INF-9144,Diana Corp,In Progress,Medium,Berlin,2025-09-26T18:56:09.765200Z
INF-7339,Grace Corp,Resolved,Low,Tokyo,2025-07-09T04:56:09.765214Z
INF-8208,Leo Corp,Closed,Critical,Berlin,2025-03-29T08:56:09.765228Z
INF-2674,Grace Corp,Pending,Medium,New York,2025-09-16T14:56:09.765241Z
INF-4287,Leo Corp,Failed,Critical,Toronto,2025-05-28T11:56:09.765257Z
INF-4427,Eve Corp,In Progress,High,Sydney,2025-08-15T12:56:09.765274Z
INF-3246,Karen Corp,Closed,High,Tokyo,2025-11-05T23:56:09.765288Z
INF-9301,Hank Corp,In Progress,High,Toronto,2025-12-06T17:56:09.765302Z
INF-5173,Grace Corp,Pending,High,New York,2025-08-30T00:56:09.765316Z
INF-1530,Eve Corp,Requires Action,Low,London,2025-06-13T18:56:09.765329Z
INF-2304,Bob Corp,Pending,Critical,Dubai,2025-08-10T13:56:09.765343Z
