record_id,entity_name,status,priority,assigned_region,last_updated
INS-9237,Grace Corp,Pending,Medium,Dubai,2025-05-20T17:56:09.772714Z
INS-9560,Eve Corp,Resolved,Critical,Dubai,2025-11-20T02:56:09.772758Z
INS-6522,Leo Corp,In Progress,Medium,Singapore,2025-11-14T01:56:09.772944Z
INS-1293,Karen Corp,Pending,Critical,Singapore,2026-02-28T12:56:09.772984Z
INS-2911,Frank Corp,Pending,Critical,Dubai,2025-10-18T15:56:09.773004Z
INS-5352,Eve Corp,Closed,Medium,Dubai,2025-11-21T21:56:09.773020Z
INS-3160,Hank Corp,Closed,Critical,Berlin,2025-06-28T21:56:09.773035Z
INS-5428,Eve Corp,Active,High,Tokyo,2025-06-29T19:56:09.773050Z
INS-4701,Alice Corp,Pending,Medium,Sydney,2025-07-29T17:56:09.773065Z
INS-9899,Grace Corp,Closed,Low,Singapore,2025-12-01T11:56:09.773083Z
INS-1531,Alice Corp,In Progress,Critical,Toronto,2026-02-22T15:56:09.773098Z
INS-5138,Grace Corp,Resolved,Low,Sydney,2025-12-30T01:56:09.773112Z
INS-4044,Leo Corp,In Progress,Critical,Dubai,2025-04-21T18:56:09.773127Z
INS-4019,Hank Corp,Requires Action,High,Tokyo,2025-09-19T07:56:09.773144Z
INS-5950,Frank Corp,Resolved,High,Dubai,2025-10-26T05:56:09.773157Z
INS-5083,Charlie Corp,In Progress,Low,Dubai,2026-01-22T06:56:09.773172Z
INS-6350,Ivy Corp,Resolved,High,London,2025-06-24T12:56:09.773186Z
INS-5095,Diana Corp,Pending,Low,Sydney,2025-09-25T06:56:09.773201Z
INS-9397,Eve Corp,Resolved,High,London,2025-07-12T01:56:09.773215Z
INS-4181,Karen Corp,Pending,Medium,Singapore,2025-12-02T08:56:09.773229Z
INS-3644,Eve Corp,In Progress,Medium,Sydney,2025-04-06T14:56:09.773242Z
INS-9009,Charlie Corp,Active,Low,London,2025-05-10T22:56:09.773257Z
INS-1664,Ivy Corp,Requires Action,Low,Berlin,2025-08-28T23:56:09.773271Z
INS-8895,Leo Corp,Failed,Critical,Singapore,2026-02-28T08:56:09.773285Z
INS-1549,Alice Corp,Failed,Critical,Dubai,2026-02-20T21:56:09.773298Z
INS-1638,Alice Corp,Requires Action,High,Dubai,2025-12-02T16:56:09.773314Z
INS-5083,Frank Corp,Closed,Low,New York,2025-08-12T08:56:09.773328Z
INS-8706,Alice Corp,Failed,High,New York,2025-03-25T19:56:09.773341Z
INS-4925,Leo Corp,Active,High,Singapore,2025-03-23T15:56:09.773356Z
INS-3780,Jack Corp,Requires Action,Medium,Dubai,2025-05-01T09:56:09.773369Z
INS-2986,Karen Corp,Closed,Medium,New York,2026-02-02T16:56:09.773384Z
INS-7199,Diana Corp,Requires Action,Critical,Berlin,2025-08-15T23:56:09.773398Z
INS-6939,Charlie Corp,Resolved,Low,Toronto,2025-08-12T16:56:09.773411Z
INS-8363,Grace Corp,In Progress,High,Berlin,2026-01-03T14:56:09.773425Z
INS-6093,Frank Corp,Closed,Low,Sydney,2025-10-20T16:56:09.773438Z
INS-1168,Diana Corp,Closed,Low,New York,2026-03-06T19:56:09.773451Z
INS-9771,Diana Corp,Requires Action,High,Dubai,2025-11-23T09:56:09.773465Z
INS-1998,Jack Corp,Requires Action,High,London,2025-04-17T12:56:09.773478Z
INS-9844,Jack Corp,Active,High,London,2025-07-31T06:56:09.773491Z
INS-3058,Jack Corp,Resolved,Critical,Toronto,2025-12-10T02:56:09.773505Z
INS-2223,Jack Corp,In Progress,Medium,Toronto,2025-05-09T09:56:09.773518Z
INS-1457,Jack Corp,Closed,Low,Dubai,2025-07-22T17:56:09.773533Z
INS-1550,Hank Corp,Resolved,Low,Toronto,2025-09-21T10:56:09.773546Z
INS-7367,Frank Corp,Requires Action,Medium,Singapore,2025-07-24T05:56:09.773559Z
INS-7673,Frank Corp,Active,High,Sydney,2025-11-02T08:56:09.773572Z
INS-8896,Bob Corp,Requires Action,High,Tokyo,2025-03-18T22:56:09.773585Z
INS-6411,Hank Corp,Active,Medium,Dubai,2025-05-10T05:56:09.773599Z
INS-7156,Jack Corp,Resolved,Critical,Dubai,2025-12-15T23:56:09.773613Z
INS-9156,Leo Corp,Active,Low,Singapore,2025-05-21T00:56:09.773627Z
INS-1199,Grace Corp,Requires Action,High,New York,2025-07-13T23:56:09.773641Z
INS-4110,Ivy Corp,In Progress,Low,Tokyo,2025-12-06T15:56:09.773654Z
INS-1771,Bob Corp,Requires Action,Medium,Berlin,2025-07-01T19:56:09.773668Z
INS-1886,Leo Corp,Resolved,Low,Berlin,2025-05-06T16:56:09.773682Z
INS-9391,Jack Corp,Pending,Low,Tokyo,2026-02-01T07:56:09.773724Z
INS-9068,Eve Corp,Failed,High,Toronto,2025-09-12T20:56:09.773742Z
INS-6706,Eve Corp,Active,High,Tokyo,2026-01-04T01:56:09.773756Z
INS-1850,Ivy Corp,Failed,High,Dubai,2025-07-13T08:56:09.773769Z
INS-3593,Grace Corp,Failed,Medium,Dubai,2025-12-20T09:56:09.773783Z
INS-3606,Jack Corp,Failed,Medium,Dubai,2025-09-11T16:56:09.773795Z
INS-8744,Eve Corp,Pending,Medium,Dubai,2025-10-11T08:56:09.773808Z
INS-1410,Alice Corp,Active,High,Berlin,2025-10-06T18:56:09.773821Z
INS-2650,Jack Corp,In Progress,Medium,Tokyo,2025-09-27T00:56:09.773834Z
INS-4497,Eve Corp,Requires Action,Low,Berlin,2025-12-22T21:56:09.773847Z
INS-1377,Bob Corp,Pending,Medium,Dubai,2025-03-27T18:56:09.773860Z
INS-1214,Karen Corp,Active,Low,Tokyo,2026-01-25T07:56:09.773873Z
INS-6531,Leo Corp,Requires Action,Low,New York,2025-06-15T01:56:09.773890Z
INS-9682,Grace Corp,Pending,Medium,Dubai,2025-05-23T21:56:09.773903Z
INS-9082,Hank Corp,Active,Medium,Dubai,2026-02-03T07:56:09.773916Z
INS-7391,Frank Corp,Active,Medium,Toronto,2026-01-31T10:56:09.773930Z
INS-3762,Eve Corp,Active,Critical,London,2025-07-24T22:56:09.773943Z
INS-6138,Ivy Corp,In Progress,Medium,Tokyo,2025-12-07T02:56:09.773955Z
INS-8796,Bob Corp,In Progress,Critical,Tokyo,2025-07-08T09:56:09.773969Z
INS-8515,Frank Corp,Failed,Low,New York,2026-02-28T13:56:09.773982Z
INS-4963,Grace Corp,Resolved,Critical,Tokyo,2025-07-23T08:56:09.773995Z
INS-6576,Eve Corp,Requires Action,Critical,Dubai,2025-06-07T10:56:09.774009Z
INS-8002,Frank Corp,Failed,High,Berlin,2025-04-09T00:56:09.774022Z
INS-7344,Jack Corp,Pending,Medium,New York,2025-07-06T02:56:09.774035Z
INS-8360,Alice Corp,Failed,Critical,Sydney,2025-05-07T15:56:09.774052Z
INS-6482,Ivy Corp,Failed,Critical,Sydney,2025-08-26T11:56:09.774065Z
INS-2270,Alice Corp,Failed,Low,Singapore,2026-01-24T01:56:09.774079Z
INS-2712,Grace Corp,Closed,Medium,Sydney,2025-07-22T08:56:09.774092Z
INS-8172,Frank Corp,In Progress,Low,London,2026-02-05T15:56:09.774107Z
INS-4616,Frank Corp,Resolved,Critical,Singapore,2025-11-07T09:56:09.774120Z
INS-3016,Ivy Corp,Requires Action,Critical,Toronto,2025-10-06T01:56:09.774133Z
INS-8771,Diana Corp,Requires Action,Medium,Tokyo,2025-10-30T10:56:09.774146Z
INS-2652,Leo Corp,Failed,High,London,2025-06-25T13:56:09.774160Z
