record_id,entity_name,status,priority,assigned_region,last_updated
MAN-7872,Eve Corp,Active,Medium,Tokyo,2025-12-10T13:56:09.790827Z
MAN-5987,Alice Corp,Active,High,Toronto,2025-12-11T13:56:09.790863Z
MAN-6870,Bob Corp,Resolved,Critical,Tokyo,2025-10-14T11:56:09.790881Z
MAN-3535,Grace Corp,Requires Action,Low,Berlin,2025-07-18T17:56:09.790896Z
MAN-1336,Jack Corp,Pending,Low,Toronto,2025-10-28T15:56:09.790910Z
MAN-7347,Alice Corp,Failed,Low,Singapore,2025-09-22T06:56:09.790923Z
MAN-4863,Hank Corp,Requires Action,Critical,Toronto,2025-08-18T18:56:09.790939Z
MAN-8803,Leo Corp,Active,Low,Sydney,2025-05-24T09:56:09.790954Z
MAN-5531,Alice Corp,In Progress,Low,London,2025-04-03T20:56:09.790969Z
MAN-9333,Charlie Corp,Requires Action,High,London,2026-02-18T04:56:09.790983Z
MAN-1880,Eve Corp,Active,Low,Berlin,2025-08-03T20:56:09.790997Z
MAN-5118,Bob Corp,Active,High,London,2025-03-17T11:56:09.791011Z
MAN-6148,Alice Corp,Pending,Medium,Toronto,2025-08-24T16:56:09.791024Z
MAN-8262,Diana Corp,Requires Action,Medium,Toronto,2025-04-05T05:56:09.791037Z
MAN-6555,Leo Corp,In Progress,Low,New York,2025-10-02T13:56:09.791050Z
MAN-6651,Ivy Corp,Pending,High,New York,2025-04-04T00:56:09.791063Z
MAN-2680,Charlie Corp,Closed,Low,London,2025-05-27T00:56:09.791077Z
MAN-5007,Grace Corp,Resolved,Critical,Toronto,2025-08-12T19:56:09.791091Z
MAN-3544,Charlie Corp,Pending,Medium,Toronto,2026-02-19T15:56:09.791104Z
MAN-7354,Diana Corp,Pending,Low,London,2025-04-02T05:56:09.791118Z
MAN-3679,Grace Corp,In Progress,Low,Singapore,2025-05-19T19:56:09.791133Z
MAN-4502,Karen Corp,Resolved,Low,Toronto,2025-10-23T18:56:09.791146Z
MAN-6933,Alice Corp,Pending,Critical,London,2025-03-19T20:56:09.791161Z
MAN-9455,Eve Corp,In Progress,Medium,New York,2025-05-28T23:56:09.791175Z
MAN-1262,Eve Corp,Pending,Critical,Singapore,2025-05-23T17:56:09.791188Z
MAN-8079,Hank Corp,Failed,Low,Sydney,2025-08-06T15:56:09.791202Z
