record_id,entity_name,status,priority,assigned_region,last_updated
MIN-5493,Alice Corp,Closed,Low,Berlin,2025-05-07T23:56:09.805295Z
MIN-7488,Hank Corp,In Progress,High,New York,2025-06-09T15:56:09.805339Z
MIN-8676,Diana Corp,Requires Action,Critical,Dubai,2026-02-12T04:56:09.805359Z
MIN-2071,Charlie Corp,Resolved,Critical,New York,2025-03-21T11:56:09.805377Z
MIN-6425,Grace Corp,Closed,Low,Dubai,2025-04-12T15:56:09.805393Z
MIN-7332,Grace Corp,Resolved,Medium,Toronto,2026-02-23T09:56:09.805408Z
MIN-2320,Karen Corp,Requires Action,Medium,Dubai,2025-11-01T17:56:09.805423Z
MIN-9268,Diana Corp,Requires Action,High,London,2025-10-12T20:56:09.805438Z
MIN-2244,Charlie Corp,Active,High,New York,2025-06-29T06:56:09.805453Z
MIN-3123,Diana Corp,Active,Critical,Dubai,2025-07-17T04:56:09.805468Z
MIN-1420,Bob Corp,Resolved,High,Toronto,2026-01-05T12:56:09.805483Z
MIN-5077,Karen Corp,Requires Action,High,Berlin,2025-10-29T13:56:09.805497Z
MIN-8029,Jack Corp,Resolved,Critical,Sydney,2025-09-14T04:56:09.805512Z
MIN-2928,Diana Corp,Failed,High,Tokyo,2025-10-08T16:56:09.805526Z
MIN-2180,Grace Corp,Active,Medium,Berlin,2026-02-19T22:56:09.805539Z
MIN-5327,Eve Corp,Failed,High,Sydney,2025-04-05T19:56:09.805554Z
MIN-5781,Grace Corp,Active,Medium,New York,2025-07-25T04:56:09.805568Z
MIN-2728,Charlie Corp,Active,Critical,Sydney,2025-05-13T18:56:09.805582Z
MIN-3720,Jack Corp,Closed,High,Berlin,2025-09-25T08:56:09.805598Z
MIN-8229,Leo Corp,Failed,Medium,London,2025-08-17T12:56:09.805612Z
MIN-9847,Leo Corp,Requires Action,High,New York,2026-01-04T16:56:09.805627Z
MIN-2548,Frank Corp,In Progress,Low,Tokyo,2026-01-30T01:56:09.805641Z
MIN-1777,Eve Corp,Resolved,Critical,Dubai,2025-04-14T22:56:09.805655Z
MIN-1024,Charlie Corp,Requires Action,Medium,Sydney,2025-07-27T23:56:09.805670Z
MIN-7586,Grace Corp,Pending,Critical,Berlin,2025-07-11T13:56:09.805684Z
