record_id,entity_name,status,priority,assigned_region,last_updated
PHA-9114,Hank Corp,Closed,High,Berlin,2025-12-22T02:56:09.814404Z
PHA-7576,Frank Corp,Closed,High,New York,2025-04-07T17:56:09.814452Z
PHA-1970,Frank Corp,Pending,Critical,Toronto,2025-10-03T13:56:09.814468Z
PHA-5028,Hank Corp,Requires Action,Low,Toronto,2025-05-26T19:56:09.814481Z
PHA-8829,Bob Corp,Closed,Low,Singapore,2025-11-27T11:56:09.814494Z
PHA-8473,Hank Corp,In Progress,Critical,Singapore,2026-03-04T14:56:09.814506Z
PHA-4039,Leo Corp,Closed,Critical,Singapore,2026-02-18T15:56:09.814517Z
PHA-8018,Diana Corp,Requires Action,Low,Sydney,2025-10-04T23:56:09.814528Z
PHA-2932,Hank Corp,Requires Action,Medium,Sydney,2025-04-19T05:56:09.814540Z
PHA-5648,Bob Corp,Requires Action,Medium,Sydney,2026-02-27T14:56:09.814550Z
PHA-6016,Leo Corp,Active,High,Singapore,2025-11-04T03:56:09.814563Z
PHA-6029,Alice Corp,Closed,High,Berlin,2026-03-08T15:56:09.814575Z
PHA-7044,Alice Corp,Pending,High,London,2026-02-24T18:56:09.814711Z
PHA-8714,Frank Corp,Failed,Low,Dubai,2026-03-02T08:56:09.814731Z
PHA-9729,Frank Corp,Pending,Low,Berlin,2025-03-29T04:56:09.814744Z
PHA-2329,Bob Corp,Active,Critical,Tokyo,2026-01-12T09:56:09.814757Z
PHA-1820,Eve Corp,Failed,High,Sydney,2025-07-28T08:56:09.814988Z
PHA-1038,Diana Corp,Active,Medium,Tokyo,2026-02-22T18:56:09.815024Z
PHA-2759,Bob Corp,Requires Action,Medium,Dubai,2025-10-28T04:56:09.815038Z
PHA-9270,Diana Corp,Resolved,Critical,Berlin,2025-08-17T17:56:09.815050Z
PHA-9935,Grace Corp,Requires Action,Low,Dubai,2025-07-11T13:56:09.815062Z
PHA-7825,Eve Corp,Active,High,London,2025-05-28T08:56:09.815072Z
PHA-2102,Eve Corp,In Progress,High,Berlin,2026-01-20T07:56:09.815083Z
PHA-1224,Karen Corp,Active,Critical,Sydney,2026-03-11T16:56:09.815094Z
PHA-7503,Ivy Corp,Active,Critical,Berlin,2025-03-31T17:56:09.815106Z
PHA-1996,Jack Corp,Active,High,Tokyo,2026-01-29T11:56:09.815117Z
