record_id,entity_name,status,priority,assigned_region,last_updated
PUB-8151,Bob Corp,Requires Action,High,Singapore,2025-11-24T23:56:09.823602Z
PUB-5370,Eve Corp,Resolved,Critical,Berlin,2025-11-05T10:56:09.823638Z
PUB-5535,Hank Corp,Failed,Low,Sydney,2025-10-09T04:56:09.823652Z
PUB-2408,Hank Corp,Failed,Medium,Singapore,2025-08-08T23:56:09.823665Z
PUB-2236,Bob Corp,Closed,High,Toronto,2025-08-20T06:56:09.823679Z
PUB-7911,Charlie Corp,Resolved,Critical,Sydney,2025-06-03T18:56:09.823693Z
PUB-7783,Frank Corp,Requires Action,Critical,Berlin,2026-01-21T16:56:09.823709Z
PUB-3486,Eve Corp,Closed,Medium,Tokyo,2025-06-21T11:56:09.823724Z
PUB-4828,Hank Corp,Closed,Low,Berlin,2025-03-28T03:56:09.823739Z
PUB-3956,Charlie Corp,Active,High,Tokyo,2025-06-08T21:56:09.823754Z
PUB-6851,Ivy Corp,Closed,Critical,Tokyo,2025-11-07T18:56:09.823768Z
PUB-9504,Charlie Corp,Resolved,Medium,Toronto,2026-01-12T04:56:09.823783Z
PUB-8871,Diana Corp,Resolved,Critical,Sydney,2025-12-03T08:56:09.823797Z
PUB-7895,Bob Corp,Resolved,Critical,Dubai,2025-12-26T19:56:09.823811Z
PUB-2818,Frank Corp,Resolved,Medium,New York,2025-07-12T15:56:09.823825Z
PUB-7881,Alice Corp,Resolved,Low,Toronto,2025-10-26T15:56:09.823838Z
PUB-8888,Grace Corp,Active,Low,Sydney,2026-01-02T00:56:09.823851Z
PUB-2634,Leo Corp,Closed,Medium,Dubai,2025-07-21T23:56:09.823864Z
PUB-7583,Frank Corp,Closed,Critical,Dubai,2025-09-19T03:56:09.823876Z
PUB-8918,Eve Corp,Active,High,Toronto,2025-05-28T12:56:09.823886Z
PUB-1719,Grace Corp,Active,Critical,Dubai,2025-05-24T00:56:09.823897Z
PUB-2647,Frank Corp,Active,High,Singapore,2026-01-23T11:56:09.823908Z
PUB-7259,Alice Corp,In Progress,Critical,Tokyo,2025-08-18T12:56:09.823919Z
PUB-4573,Ivy Corp,Active,High,Toronto,2025-11-04T13:56:09.823933Z
PUB-6800,Alice Corp,Resolved,Low,Singapore,2025-12-28T15:56:09.823945Z
PUB-2920,Jack Corp,Failed,High,Singapore,2025-09-10T20:56:09.823953Z
PUB-8280,Diana Corp,Pending,Low,Berlin,2026-02-24T05:56:09.823960Z
PUB-9160,Grace Corp,Pending,High,London,2026-01-27T08:56:09.823969Z
PUB-9263,Leo Corp,Pending,Medium,Tokyo,2026-03-07T13:56:09.823977Z
