record_id,entity_name,status,priority,assigned_region,last_updated
REA-1429,Eve Corp,Pending,Medium,Dubai,2025-10-04T03:56:09.827914Z
REA-1166,Charlie Corp,Failed,Critical,Sydney,2025-10-16T08:56:09.827959Z
REA-1199,Eve Corp,Failed,Medium,Singapore,2025-08-21T04:56:09.827974Z
REA-9527,Grace Corp,In Progress,Critical,Singapore,2025-06-03T23:56:09.828093Z
REA-1979,Karen Corp,In Progress,Low,Sydney,2025-10-30T07:56:09.828120Z
REA-9626,Grace Corp,Resolved,Low,Toronto,2025-08-13T10:56:09.828142Z
REA-9767,Bob Corp,Closed,Low,London,2025-11-09T00:56:09.828159Z
REA-9334,Eve Corp,Requires Action,Low,Dubai,2026-02-10T07:56:09.828176Z
REA-6125,Alice Corp,Pending,Low,Toronto,2025-08-28T14:56:09.828192Z
REA-9896,Hank Corp,Failed,Medium,Tokyo,2025-03-16T16:56:09.828207Z
REA-9190,Charlie Corp,Resolved,Medium,New York,2025-10-31T13:56:09.828223Z
REA-7430,Charlie Corp,Active,Critical,New York,2025-10-06T17:56:09.828237Z
REA-6261,Alice Corp,Active,High,Singapore,2025-10-03T02:56:09.828252Z
REA-6199,Jack Corp,Resolved,Low,New York,2025-09-11T20:56:09.828267Z
REA-2158,Bob Corp,Resolved,Critical,Sydney,2026-02-23T09:56:09.828281Z
REA-9145,Jack Corp,In Progress,Medium,Toronto,2025-04-29T08:56:09.828295Z
REA-6818,Ivy Corp,Resolved,Medium,Singapore,2025-12-06T07:56:09.828309Z
REA-3603,Karen Corp,Active,Low,Tokyo,2025-03-21T17:56:09.828324Z
REA-1434,Alice Corp,Closed,High,New York,2025-04-14T15:56:09.828338Z
REA-4188,Grace Corp,Closed,Critical,London,2025-07-14T19:56:09.828352Z
REA-4070,Leo Corp,Active,Low,Singapore,2025-04-25T23:56:09.828367Z
REA-2267,Jack Corp,Closed,Critical,Tokyo,2025-07-26T01:56:09.828381Z
REA-6669,Diana Corp,In Progress,High,New York,2025-12-31T11:56:09.828395Z
REA-3078,Hank Corp,Pending,Low,Sydney,2026-02-09T07:56:09.828409Z
REA-4610,Hank Corp,Active,Medium,New York,2025-10-12T02:56:09.828424Z
REA-5569,Grace Corp,In Progress,Critical,London,2025-09-02T04:56:09.828438Z
REA-7349,Karen Corp,Closed,Medium,Toronto,2025-10-20T20:56:09.828453Z
REA-8605,Alice Corp,In Progress,High,Dubai,2025-06-06T13:56:09.828468Z
REA-2487,Karen Corp,Requires Action,Critical,London,2025-12-31T07:56:09.828484Z
REA-6504,Leo Corp,Pending,High,Berlin,2025-07-27T17:56:09.828499Z
REA-5615,Hank Corp,Failed,High,New York,2026-02-14T02:56:09.828514Z
REA-1247,Bob Corp,Closed,High,London,2025-06-13T05:56:09.828530Z
REA-6749,Diana Corp,Closed,Critical,Sydney,2025-05-24T23:56:09.828545Z
REA-5543,Frank Corp,In Progress,Low,Toronto,2025-04-15T10:56:09.828561Z
REA-9024,Jack Corp,In Progress,Critical,London,2026-01-26T01:56:09.828578Z
REA-1501,Eve Corp,In Progress,High,Toronto,2025-04-29T10:56:09.828594Z
REA-1795,Eve Corp,Resolved,Low,Toronto,2025-11-01T07:56:09.828611Z
REA-2766,Leo Corp,Requires Action,Critical,Tokyo,2025-05-02T04:56:09.828629Z
REA-7892,Charlie Corp,Pending,High,London,2025-06-21T21:56:09.828645Z
REA-1622,Bob Corp,Pending,Low,Singapore,2025-08-29T23:56:09.828661Z
REA-3857,Hank Corp,Active,High,Toronto,2026-03-03T18:56:09.828676Z
