record_id,entity_name,status,priority,assigned_region,last_updated
SMA-1328,Eve Corp,Failed,Critical,Berlin,2025-07-12T06:56:09.839477Z
SMA-1363,Karen Corp,Active,Critical,Toronto,2025-12-17T18:56:09.839516Z
SMA-2544,Bob Corp,Resolved,Critical,Toronto,2026-03-01T17:56:09.839537Z
SMA-8502,Alice Corp,Closed,Critical,Berlin,2025-09-24T21:56:09.839554Z
SMA-2896,Bob Corp,Resolved,Critical,Sydney,2025-10-30T03:56:09.839570Z
SMA-8976,Leo Corp,Pending,Medium,Berlin,2026-02-14T07:56:09.839586Z
SMA-1835,Hank Corp,Requires Action,Critical,New York,2025-06-06T20:56:09.839600Z
SMA-5842,Grace Corp,Requires Action,Low,Singapore,2025-12-20T18:56:09.839615Z
SMA-4768,Frank Corp,Resolved,Medium,Toronto,2025-03-31T08:56:09.839629Z
SMA-5453,Ivy Corp,Active,Critical,London,2025-04-03T16:56:09.839644Z
SMA-4104,Charlie Corp,Active,Critical,New York,2025-06-21T03:56:09.839659Z
SMA-9794,Eve Corp,Failed,Low,Dubai,2025-06-08T17:56:09.839673Z
SMA-4021,Frank Corp,In Progress,High,Toronto,2026-01-19T09:56:09.839686Z
SMA-9862,Karen Corp,In Progress,Medium,Dubai,2025-08-12T10:56:09.839700Z
SMA-5252,Jack Corp,Resolved,High,Berlin,2025-10-18T02:56:09.839714Z
SMA-4969,Diana Corp,Failed,Critical,Singapore,2025-04-21T17:56:09.839727Z
SMA-2348,Karen Corp,Pending,Critical,Tokyo,2025-09-18T03:56:09.839740Z
SMA-2186,Diana Corp,Active,Low,London,2026-02-01T17:56:09.839754Z
SMA-1397,Eve Corp,Closed,Low,Sydney,2025-06-20T05:56:09.839769Z
SMA-9499,Diana Corp,Active,High,Tokyo,2025-06-01T06:56:09.839781Z
SMA-6232,Frank Corp,In Progress,Medium,Dubai,2025-04-01T10:56:09.839797Z
SMA-4696,Diana Corp,Resolved,Low,Tokyo,2025-09-13T18:56:09.839811Z
SMA-9033,Eve Corp,In Progress,Medium,New York,2025-04-22T20:56:09.839825Z
SMA-3859,Jack Corp,Pending,High,New York,2025-08-05T05:56:09.839838Z
SMA-5023,Alice Corp,Resolved,Critical,Sydney,2025-03-28T12:56:09.839851Z
SMA-3636,Alice Corp,Pending,Critical,Singapore,2025-11-29T17:56:09.839864Z
SMA-7698,Frank Corp,Resolved,Critical,New York,2025-10-13T17:56:09.839877Z
SMA-7037,Alice Corp,Requires Action,Critical,Berlin,2026-01-06T02:56:09.839890Z
SMA-2340,Diana Corp,Requires Action,Critical,New York,2026-03-06T02:56:09.839904Z
SMA-8227,Jack Corp,Failed,Medium,Tokyo,2025-11-15T20:56:09.839917Z
SMA-6489,Bob Corp,Pending,Critical,Singapore,2025-09-02T08:56:09.839930Z
SMA-3816,Grace Corp,Failed,Low,Berlin,2026-01-05T16:56:09.839943Z
SMA-2403,Frank Corp,In Progress,High,Tokyo,2025-06-09T12:56:09.839958Z
SMA-7836,Hank Corp,In Progress,Medium,Dubai,2025-09-18T03:56:09.839974Z
SMA-3478,Ivy Corp,Requires Action,Medium,New York,2025-04-29T23:56:09.839988Z
SMA-6400,Jack Corp,In Progress,Low,Singapore,2026-02-27T10:56:09.840002Z
SMA-9865,Leo Corp,Active,Medium,New York,2025-10-16T07:56:09.840017Z
SMA-3551,Diana Corp,Requires Action,Low,Tokyo,2025-11-30T16:56:09.840030Z
SMA-6355,Diana Corp,In Progress,Critical,Tokyo,2025-06-26T21:56:09.840045Z
SMA-1823,Jack Corp,Closed,Medium,Dubai,2025-04-26T07:56:09.840060Z
SMA-3069,Jack Corp,Resolved,Low,Tokyo,2025-08-28T11:56:09.840076Z
SMA-4719,Alice Corp,Resolved,Critical,London,2025-04-23T12:56:09.840093Z
SMA-9429,Karen Corp,Resolved,Low,Dubai,2026-01-27T22:56:09.840108Z
SMA-7877,Jack Corp,Closed,Critical,Singapore,2026-02-14T00:56:09.840124Z
SMA-9991,Charlie Corp,Requires Action,Medium,Berlin,2025-07-31T04:56:09.840140Z
SMA-5602,Jack Corp,Requires Action,Medium,Sydney,2025-06-08T23:56:09.840156Z
SMA-7340,Jack Corp,Closed,Medium,London,2025-04-06T10:56:09.840171Z
SMA-1668,Jack Corp,Resolved,Critical,Tokyo,2025-03-28T02:56:09.840186Z
SMA-4014,Eve Corp,Failed,Medium,New York,2026-01-09T21:56:09.840200Z
SMA-8816,Ivy Corp,Active,High,Berlin,2025-12-01T01:56:09.840214Z
SMA-8243,Frank Corp,Failed,Critical,Dubai,2025-09-16T14:56:09.840230Z
SMA-9649,Hank Corp,Failed,Medium,Sydney,2025-06-12T07:56:09.840245Z
SMA-5278,Diana Corp,Active,Low,Singapore,2025-06-27T08:56:09.840259Z
SMA-2593,Eve Corp,Requires Action,High,Toronto,2025-08-17T20:56:09.840274Z
SMA-4679,Grace Corp,Closed,Critical,New York,2026-01-07T14:56:09.840288Z
SMA-5041,Eve Corp,Pending,Low,Tokyo,2025-10-06T13:56:09.840303Z
SMA-2124,Grace Corp,In Progress,High,Dubai,2025-10-22T16:56:09.840318Z
SMA-9219,Jack Corp,In Progress,Low,Tokyo,2025-07-16T11:56:09.840332Z
SMA-3866,Frank Corp,Requires Action,Critical,London,2026-01-21T02:56:09.840347Z
SMA-2276,Alice Corp,Resolved,Low,London,2025-07-08T20:56:09.840361Z
SMA-5422,Jack Corp,Resolved,Critical,Singapore,2025-11-02T16:56:09.840375Z
