record_id,entity_name,status,priority,assigned_region,last_updated
VEN-7632,Eve Corp,Active,High,Tokyo,2025-12-28T16:56:09.871730Z
VEN-6237,Ivy Corp,Requires Action,Critical,Singapore,2025-04-15T17:56:09.871774Z
VEN-4222,Eve Corp,Requires Action,Low,Toronto,2025-03-14T23:56:09.871795Z
VEN-6613,Ivy Corp,Requires Action,High,Sydney,2025-07-24T08:56:09.871811Z
VEN-7182,Jack Corp,Closed,High,Singapore,2025-04-20T20:56:09.871828Z
VEN-9970,Jack Corp,Closed,High,New York,2026-02-23T06:56:09.871843Z
VEN-4007,Jack Corp,Resolved,Medium,London,2025-08-10T08:56:09.871858Z
VEN-5423,Ivy Corp,Closed,Critical,Toronto,2025-11-28T22:56:09.871874Z
VEN-1006,Jack Corp,Requires Action,High,Dubai,2025-06-13T02:56:09.871888Z
VEN-9993,Grace Corp,Closed,Critical,Singapore,2025-04-15T16:56:09.871904Z
VEN-1314,Alice Corp,Closed,High,Toronto,2025-04-23T21:56:09.871918Z
VEN-7123,Karen Corp,Requires Action,Medium,Berlin,2026-03-08T22:56:09.871932Z
VEN-1140,Frank Corp,In Progress,Critical,New York,2025-08-28T13:56:09.871946Z
VEN-6691,Ivy Corp,Resolved,Critical,New York,2026-01-12T04:56:09.871960Z
VEN-6953,Hank Corp,Resolved,Critical,New York,2025-10-11T03:56:09.871974Z
VEN-8770,Eve Corp,Pending,Critical,Tokyo,2025-08-04T00:56:09.871988Z
VEN-9529,Eve Corp,Resolved,Medium,Tokyo,2026-01-03T09:56:09.872003Z
VEN-6573,Hank Corp,Active,Low,Berlin,2025-11-01T23:56:09.872019Z
VEN-3316,Eve Corp,Closed,Medium,New York,2025-08-21T11:56:09.872034Z
VEN-7069,Frank Corp,Failed,High,Berlin,2026-01-14T00:56:09.872049Z
VEN-8640,Alice Corp,Resolved,Medium,Toronto,2025-08-24T13:56:09.872062Z
VEN-3162,Alice Corp,Pending,Medium,Tokyo,2025-08-07T01:56:09.872075Z
VEN-8224,Leo Corp,Active,Medium,Toronto,2025-11-22T17:56:09.872090Z
VEN-5995,Ivy Corp,Active,Medium,New York,2025-09-15T20:56:09.872104Z
VEN-7705,Hank Corp,Closed,High,London,2025-09-01T10:56:09.872117Z
VEN-4924,Hank Corp,Resolved,Low,Dubai,2025-11-26T21:56:09.872132Z
VEN-8247,Jack Corp,Active,High,Dubai,2026-01-09T22:56:09.872145Z
VEN-1958,Alice Corp,Active,Critical,New York,2025-05-04T18:56:09.872158Z
VEN-5243,Diana Corp,Requires Action,Medium,Berlin,2026-01-13T01:56:09.872173Z
VEN-6451,Leo Corp,Pending,Low,Berlin,2025-05-06T22:56:09.872187Z
VEN-7809,Diana Corp,Active,Medium,Berlin,2025-12-07T14:56:09.872201Z
