record_id,entity_name,status,priority,assigned_region,last_updated
WHO-3081,Jack Corp,Resolved,Low,Berlin,2026-01-21T18:56:09.875966Z
WHO-9291,Charlie Corp,Failed,Critical,Toronto,2025-09-03T05:56:09.876002Z
WHO-8345,Ivy Corp,Closed,Critical,Dubai,2025-06-13T11:56:09.876021Z
WHO-9592,Charlie Corp,Resolved,High,Berlin,2025-06-13T05:56:09.876037Z
WHO-2035,Karen Corp,Requires Action,Critical,Dubai,2025-10-14T03:56:09.876052Z
WHO-5546,Alice Corp,Failed,Low,Sydney,2025-10-11T12:56:09.876066Z
WHO-2043,Leo Corp,Pending,Critical,Dubai,2025-07-05T00:56:09.876079Z
WHO-7824,Frank Corp,Closed,Low,London,2025-09-21T16:56:09.876093Z
WHO-2838,Ivy Corp,Active,Medium,Sydney,2025-06-06T19:56:09.876108Z
WHO-8679,Eve Corp,Closed,Critical,Sydney,2025-12-02T07:56:09.876123Z
WHO-8780,Charlie Corp,Failed,High,Dubai,2025-08-05T23:56:09.876137Z
WHO-6708,Grace Corp,Pending,Critical,Berlin,2025-04-06T17:56:09.876151Z
WHO-1254,Eve Corp,Closed,Medium,Singapore,2025-04-12T23:56:09.876166Z
WHO-9028,Frank Corp,Closed,Low,Toronto,2025-07-11T08:56:09.876180Z
WHO-9786,Eve Corp,Active,Low,Toronto,2025-08-05T02:56:09.876194Z
WHO-1866,Leo Corp,Pending,Medium,New York,2025-08-29T16:56:09.876208Z
WHO-4512,Leo Corp,Closed,High,Singapore,2025-07-15T07:56:09.876222Z
WHO-1320,Diana Corp,Pending,Low,Singapore,2025-07-15T21:56:09.876236Z
WHO-5723,Diana Corp,Closed,Medium,Toronto,2025-06-12T05:56:09.876249Z
WHO-7440,Hank Corp,Pending,Medium,Tokyo,2026-01-21T08:56:09.876263Z
WHO-2664,Frank Corp,Requires Action,Low,Tokyo,2025-11-01T02:56:09.876276Z
WHO-7391,Jack Corp,Pending,Medium,Berlin,2025-09-04T14:56:09.876290Z
WHO-8516,Hank Corp,Failed,High,New York,2025-11-20T12:56:09.876304Z
WHO-9796,Eve Corp,Requires Action,Medium,Singapore,2025-12-10T05:56:09.876319Z
WHO-6392,Charlie Corp,Active,Medium,Dubai,2025-09-10T05:56:09.876334Z
WHO-3039,Bob Corp,Requires Action,Critical,Singapore,2025-05-21T16:56:09.876348Z
WHO-8230,Diana Corp,In Progress,High,Berlin,2025-08-10T20:56:09.876362Z
WHO-7395,Leo Corp,Closed,Critical,New York,2025-09-26T06:56:09.876376Z
WHO-2799,Diana Corp,Pending,Low,Sydney,2025-09-02T18:56:09.876390Z
WHO-4610,Grace Corp,Closed,Low,London,2025-03-20T11:56:09.876405Z
WHO-3043,Frank Corp,Closed,Medium,New York,2025-12-29T03:56:09.876420Z
WHO-3887,Diana Corp,Failed,Medium,Singapore,2026-01-10T00:56:09.876433Z
WHO-1006,Alice Corp,Failed,Low,Dubai,2025-05-18T13:56:09.876446Z
WHO-5249,Frank Corp,Failed,High,New York,2025-08-04T03:56:09.876461Z
WHO-9450,Leo Corp,Failed,Medium,Dubai,2025-11-05T03:56:09.876476Z
WHO-4631,Bob Corp,Pending,Medium,London,2025-10-08T16:56:09.876489Z
WHO-2439,Bob Corp,Failed,Medium,Tokyo,2025-05-02T02:56:09.876503Z
WHO-3764,Eve Corp,Closed,High,New York,2026-03-10T15:56:09.876516Z
WHO-3230,Charlie Corp,In Progress,Critical,Toronto,2025-09-18T14:56:09.876530Z
WHO-2725,Jack Corp,Pending,Low,Dubai,2025-06-03T03:56:09.876542Z
WHO-7233,Diana Corp,Requires Action,Medium,Singapore,2025-11-03T12:56:09.876556Z
WHO-2956,Frank Corp,Pending,High,New York,2025-12-18T12:56:09.876572Z
WHO-8906,Charlie Corp,Closed,High,London,2025-07-11T02:56:09.876586Z
WHO-3356,Diana Corp,Active,Low,New York,2025-07-05T16:56:09.876600Z
WHO-1397,Diana Corp,Pending,Critical,Berlin,2025-08-12T07:56:09.876613Z
WHO-3169,Leo Corp,In Progress,High,Toronto,2025-04-10T11:56:09.876627Z
WHO-6953,Frank Corp,Resolved,Medium,Singapore,2025-09-05T02:56:09.876641Z
WHO-2952,Diana Corp,Active,Medium,Berlin,2025-07-13T21:56:09.876654Z
WHO-2005,Charlie Corp,Pending,Critical,Berlin,2026-01-01T05:56:09.876668Z
WHO-4643,Frank Corp,Resolved,Critical,Dubai,2026-02-28T03:56:09.876681Z
WHO-2477,Grace Corp,Requires Action,Low,Dubai,2026-03-07T23:56:09.876694Z
WHO-7981,Karen Corp,Resolved,Medium,Toronto,2025-05-25T01:56:09.876707Z
WHO-1475,Karen Corp,Failed,Medium,Tokyo,2025-09-02T20:56:09.876722Z
WHO-6414,Leo Corp,Closed,Critical,Sydney,2025-09-07T23:56:09.876736Z
WHO-4081,Frank Corp,Closed,Medium,New York,2026-01-18T10:56:09.876750Z
WHO-9462,Eve Corp,In Progress,Low,New York,2025-05-31T22:56:09.876764Z
WHO-4441,Diana Corp,Requires Action,Low,Tokyo,2025-11-13T16:56:09.876778Z
WHO-3556,Diana Corp,Failed,High,London,2025-03-25T01:56:09.876791Z
WHO-9358,Diana Corp,Failed,Medium,Berlin,2025-11-25T17:56:09.876805Z
WHO-9102,Grace Corp,Active,Critical,Dubai,2025-05-17T06:56:09.876819Z
WHO-9865,Frank Corp,Pending,Low,Sydney,2026-02-05T15:56:09.876833Z
WHO-1596,Leo Corp,Requires Action,Critical,London,2026-01-08T10:56:09.876847Z
WHO-7872,Hank Corp,In Progress,Critical,Toronto,2025-04-09T11:56:09.876860Z
WHO-2784,Ivy Corp,Closed,High,Dubai,2025-12-06T01:56:09.876874Z
WHO-3507,Diana Corp,Pending,High,Sydney,2025-05-30T10:56:09.876888Z
WHO-2029,Frank Corp,Active,Low,London,2025-08-19T11:56:09.876906Z
WHO-7283,Grace Corp,In Progress,High,Singapore,2025-08-13T15:56:09.876920Z
WHO-2644,Diana Corp,Active,Critical,Berlin,2025-06-10T01:56:09.876934Z
WHO-6960,Alice Corp,In Progress,Medium,London,2025-06-17T21:56:09.876947Z
WHO-5398,Ivy Corp,In Progress,Critical,Dubai,2025-04-26T18:56:09.876960Z
WHO-4899,Bob Corp,Resolved,Medium,Tokyo,2025-11-01T04:56:09.876973Z
WHO-2729,Leo Corp,Closed,Low,New York,2025-04-07T00:56:09.876986Z
WHO-8748,Bob Corp,Closed,Low,Sydney,2025-11-22T12:56:09.876999Z
WHO-7173,Hank Corp,Resolved,Low,Sydney,2025-11-14T14:56:09.877012Z
WHO-3012,Karen Corp,Pending,Critical,Tokyo,2025-08-31T02:56:09.877026Z
WHO-3545,Jack Corp,Pending,Medium,London,2025-10-23T06:56:09.877040Z
WHO-4778,Charlie Corp,Active,High,New York,2025-07-05T22:56:09.877053Z
WHO-4992,Ivy Corp,Closed,Critical,Dubai,2025-04-27T20:56:09.877070Z
WHO-2155,Diana Corp,Active,Critical,Toronto,2026-02-01T09:56:09.877085Z
WHO-7377,Bob Corp,Requires Action,High,Dubai,2025-04-03T03:56:09.877098Z
WHO-7806,Grace Corp,Failed,High,Toronto,2025-10-06T22:56:09.877110Z
WHO-8050,Karen Corp,Resolved,Medium,London,2025-08-12T08:56:09.877124Z
WHO-4990,Frank Corp,In Progress,Medium,Singapore,2025-05-20T09:56:09.877137Z
WHO-6923,Charlie Corp,Active,High,Tokyo,2025-07-13T17:56:09.877152Z
WHO-6901,Bob Corp,Resolved,Critical,Dubai,2025-12-01T02:56:09.877165Z
